"command_id","alternative_command_id"
"nmap-ping-sweep","ping-host"
"nmap-vuln-scan","nessus-scan"
"dns-enum","dnsenum-domain"
"smb-enum","smb-enum4linux-full"
"smb-enum","smb-crackmapexec-shares"
"smb-enum","smb-null-session-shares"
"smb-enum","enum4linux-smb"
"smb-null-session-shares","smb-smbmap-recursive"
"smb-null-session-shares","smb-crackmapexec-shares"
"smb-enum4linux-full","smb-crackmapexec-shares"
"smb-enum4linux-full","smb-null-session-shares"
"smb-crackmapexec-shares","smb-smbmap-recursive"
"smb-crackmapexec-shares","smb-enum4linux-full"
"smb-smbclient-connect","smb-mount-share"
"smb-smbclient-connect","smb-smbmap-recursive"
"smb-smbmap-recursive","smb-smbclient-connect"
"smb-smbmap-recursive","smb-mount-share"
"smb-mount-share","smb-smbclient-connect"
"smb-mount-share","smb-smbmap-recursive"
"curl-header-enum","whatweb-technology-detection"
"curl-header-enum","nmap-service-scan"
"whatweb-technology-detection","curl-header-enum"
"whatweb-technology-detection","nmap-service-scan"
"vhost-fuzzing-gobuster","ffuf-vhost-fuzz"
"iptables-list-rules","ufw-status"
"iptables-list-rules","firewalld-list-all"
"iptables-allow-port","ufw-allow-port"
"ufw-status","iptables-list-rules"
"ufw-status","firewalld-list-all"
"ufw-allow-port","iptables-allow-port"
"firewalld-list-all","iptables-list-rules"
"firewalld-list-all","ufw-status"
"netsh-firewall-show","netsh-firewall-show-state"
"netsh-firewall-show-state","netsh-firewall-show"
"ps-wmi-invoke-method","wmi-invoke-method"
"ps-wmi-invoke-method","ps-winrm-invoke-command"
"ps-winrm-credential-setup","wmi-creds-pscredential"
"ps-wmi-cimsession-setup","wmi-new-cimsession"
"ps-winrm-invoke-command","winrm-invoke-command"
"ps-winrm-invoke-command","evil-winrm-creds"
"ps-winrm-invoke-command","wmi-invoke-method"
"service-ssh-start-sysvinit","systemctl-start-ssh"
"nmap-localhost-verification","netstat-listening-tcp"
"nmap-localhost-verification","ss-listening-all"
"ssh-local-port-forward-inline","ssh-local-port-forward"
"crackmapexec-smb-framework","cme-smb-shares"
"wmic-os-version-specific","systeminfo-windows"
"wmic-os-version-specific","get-computerinfo"
"whoami-all-windows","whoami-priv"
"chisel-http-tunneling","ssh-dynamic-port-forward"
"chisel-http-tunneling","sshuttle-vpn"
"plink-remote-forward-windows","plink-remote-forward"
"proxychains-config-verify","proxychains-config"
"systemctl-start-ssh","service-ssh-start-sysvinit"
"ss-listening-ports","nmap-localhost-verification"
"ip-route","netstat-routing-table"
"nmap-port-check","curl-http-service-verification"
"smbclient-list-shares","enum4linux-smb"
"smbclient-list-shares","smbmap-shares"
"systeminfo-windows","ipconfig-all"
"systeminfo-windows","get-computerinfo"
"whoami-priv","whoami-priv"
"whoami-priv","whoami-all"
"ipconfig-all","systeminfo-windows"
"ipconfig-all","ipconfig-all"
"netstat-windows","netstat-windows"
"netstat-windows","ss-listening-ports"
"ssh-local-port-forward","chisel-client"
"ssh-local-port-forward","plink-remote-forward"
"ssh-local-port-forward","ssh-local-forward"
"ssh-dynamic-port-forward","chisel-client"
"ssh-dynamic-port-forward","ligolo-agent"
"ssh-remote-port-forward","chisel-client"
"ssh-remote-port-forward","socat-port-forward"
"ssh-remote-dynamic-port-forward","ssh-dynamic-port-forward"
"ssh-remote-dynamic-port-forward","chisel-server"
"plink-remote-forward","ssh-remote-forward"
"plink-remote-forward","chisel-client"
"plink-remote-forward","plink-remote-forward-windows"
"sshuttle-vpn","ssh-dynamic-forward"
"sshuttle-vpn","chisel-socks"
"sshuttle-vpn","ligolo-server"
"ssh-connect-password","ssh-key-authentication"
"proxychains-config","proxychains-config-verify"
"proxychains-nmap","proxychains-nmap"
"rustscan-fast-scan","nmap-quick-scan"
"rustscan-fast-scan","masscan-fast-scan"
"enum4linux-smb","enum4linux-ng"
"enum4linux-ng","enum4linux-smb"
"dnsrecon-domain","dnsenum-domain"
"dnsrecon-domain","dig-zone-transfer"
"ffuf-dir-fuzz","gobuster-dir-basic"
"ffuf-dir-fuzz","wfuzz-dir"
"gobuster-dir-basic","ffuf-dir-fuzz"
"gobuster-dir-basic","wfuzz-dir"
"wfuzz-dir","gobuster-dir-basic"
"wfuzz-dir","ffuf-dir-fuzz"
"php-http-server","ruby-http-server"
"ruby-http-server","php-http-server"
"powershell-wget","powershell-invoke-webrequest"
"chisel-server","ssh-dynamic-port-forward"
"chisel-server","ligolo-server"
"chisel-client","ssh-local-forward"
"chisel-client","plink-remote-forward"
"chisel-client","ligolo-agent"
"chisel-socks","ssh-dynamic-forward"
"chisel-socks","sshuttle-vpn"
"ssh-local-forward","chisel-client"
"ssh-local-forward","ssh-local-port-forward"
"ssh-local-forward","plink-remote-forward"
"ssh-remote-forward","chisel-client"
"ssh-remote-forward","plink-remote-forward"
"ssh-remote-forward","ssh-remote-port-forward"
"ssh-dynamic-forward","chisel-socks"
"ssh-dynamic-forward","sshuttle-vpn"
"ssh-dynamic-forward","ssh-dynamic-port-forward"
"ligolo-server","chisel-server"
"ligolo-server","ssh-dynamic-port-forward"
"ligolo-agent","chisel-client"
"ligolo-agent","ssh-dynamic-forward"
"socat-listener","nc-listener"
"hashid-identify","hash-identifier"
"smbexec-shell","psexec-shell"
"smbexec-shell","wmiexec-shell"
"secretsdump-hashes","ad-dcsync-mimikatz-single-user"
"secretsdump-hashes","ad-dcsync-impacket-secretsdump-user"
"sc-qc-service","get-service"
"ldap-dn-path-check","ldapsearch-ad"
"check-robots-txt","nikto-scan"
"capture-root-flag","cat-read-file"
"windows-read-file-type","powershell-get-content"
"windows-read-file-type","cat-read-file"
"powershell-get-content","windows-read-file-type"
"awk-print","cut-fields"
"cut-fields","awk-print"
"base64-encode","base64-decode"
"base64-decode","base64-encode"
"xxd-hex","hexdump-file"
"hexdump-file","xxd-hex"
"od-octal-dump","xxd-hex"
"od-octal-dump","hexdump-file"
"pip-install","pip3-install"
"pip3-install","pip-install"
"yum-install","dnf-install"
"yum-install","apt-install"
"dnf-install","yum-install"
"dnf-install","apt-install"
"go-get","go-install"
"go-install","go-get"
"choco-install","winget-install"
"winget-install","choco-install"
"scoop-install","choco-install"
"scoop-install","winget-install"
"ping-host","nmap-ping-sweep"
"ping-host","traceroute-host"
"traceroute-host","tracert-windows"
"tracert-windows","traceroute-host"
"dig-dns","nslookup-dns"
"dig-dns","host-dns"
"nslookup-dns","dig-dns"
"nslookup-dns","host-dns"
"host-dns","dig-dns"
"host-dns","nslookup-dns"
"curl-url","wget-url"
"wget-url","curl-url"
"nc-listener","nc-listener-setup"
"nc-listener","msf-handler-setup"
"nc-listener","msf-handler-background"
"nc-connect","telnet-connect"
"nc-connect","curl-url"
"ssh-connect","evil-winrm-shell"
"scp-file","rsync-files"
"rsync-files","scp-file"
"telnet-connect","nc-connect"
"chmod-executable","chmod-numeric-permissions"
"chmod-numeric-permissions","chmod-executable"
"chmod-writable","chmod-numeric-permissions"
"cp-file","rsync-files"
"cat-file","head-file"
