"command_id","indicator_id","indicator_type"
"nmap-ping-sweep","indicator_1","success"
"nmap-ping-sweep","indicator_2","success"
"nmap-ping-sweep","indicator_3","success"
"nmap-ping-sweep","indicator_4","failure"
"nmap-ping-sweep","indicator_5","failure"
"nmap-ping-sweep","indicator_6","failure"
"nmap-quick-scan","indicator_7","success"
"nmap-quick-scan","indicator_8","success"
"nmap-quick-scan","indicator_9","success"
"nmap-quick-scan","indicator_10","success"
"nmap-quick-scan","indicator_11","failure"
"nmap-quick-scan","indicator_12","failure"
"nmap-quick-scan","indicator_13","failure"
"nmap-service-scan","indicator_14","success"
"nmap-service-scan","indicator_15","success"
"nmap-service-scan","indicator_16","success"
"nmap-service-scan","indicator_17","success"
"nmap-service-scan","indicator_18","failure"
"nmap-service-scan","indicator_19","failure"
"nmap-service-scan","indicator_20","failure"
"nmap-vuln-scan","indicator_21","success"
"nmap-vuln-scan","indicator_22","success"
"nmap-vuln-scan","indicator_23","success"
"nmap-vuln-scan","indicator_24","success"
"nmap-vuln-scan","indicator_25","failure"
"nmap-vuln-scan","indicator_26","failure"
"nmap-vuln-scan","indicator_27","failure"
"dns-enum","indicator_28","success"
"dns-enum","indicator_29","success"
"dns-enum","indicator_30","success"
"dns-enum","indicator_31","success"
"dns-enum","indicator_32","failure"
"dns-enum","indicator_33","failure"
"dns-enum","indicator_34","failure"
"smb-enum","indicator_35","success"
"smb-enum","indicator_36","success"
"smb-enum","indicator_37","success"
"smb-enum","indicator_38","success"
"smb-enum","indicator_39","success"
"smb-enum","indicator_40","failure"
"smb-enum","indicator_41","failure"
"smb-enum","indicator_42","failure"
"smb-enum","indicator_43","failure"
"snmp-enum","indicator_44","success"
"snmp-enum","indicator_45","success"
"snmp-enum","indicator_46","success"
"snmp-enum","indicator_47","success"
"snmp-enum","indicator_48","failure"
"snmp-enum","indicator_49","failure"
"snmp-enum","indicator_50","failure"
"smb-null-session-shares","indicator_51","success"
"smb-null-session-shares","indicator_52","success"
"smb-null-session-shares","indicator_53","success"
"smb-null-session-shares","indicator_54","success"
"smb-null-session-shares","indicator_55","success"
"smb-null-session-shares","indicator_56","failure"
"smb-null-session-shares","indicator_57","failure"
"smb-null-session-shares","indicator_58","failure"
"smb-null-session-shares","indicator_59","failure"
"smb-enum4linux-full","indicator_60","success"
"smb-enum4linux-full","indicator_61","success"
"smb-enum4linux-full","indicator_62","success"
"smb-enum4linux-full","indicator_63","success"
"smb-enum4linux-full","indicator_64","success"
"smb-enum4linux-full","indicator_65","failure"
"smb-enum4linux-full","indicator_66","failure"
"smb-enum4linux-full","indicator_67","failure"
"smb-enum4linux-full","indicator_68","failure"
"smb-crackmapexec-shares","indicator_69","success"
"smb-crackmapexec-shares","indicator_70","success"
"smb-crackmapexec-shares","indicator_71","success"
"smb-crackmapexec-shares","indicator_72","success"
"smb-crackmapexec-shares","indicator_73","success"
"smb-crackmapexec-shares","indicator_74","failure"
"smb-crackmapexec-shares","indicator_75","failure"
"smb-crackmapexec-shares","indicator_76","failure"
"smb-crackmapexec-shares","indicator_77","failure"
"smb-smbclient-connect","indicator_78","success"
"smb-smbclient-connect","indicator_79","success"
"smb-smbclient-connect","indicator_80","success"
"smb-smbclient-connect","indicator_81","success"
"smb-smbclient-connect","indicator_82","failure"
"smb-smbclient-connect","indicator_83","failure"
"smb-smbclient-connect","indicator_84","failure"
"smb-smbclient-connect","indicator_85","failure"
"smb-smbmap-recursive","indicator_86","success"
"smb-smbmap-recursive","indicator_87","success"
"smb-smbmap-recursive","indicator_88","success"
"smb-smbmap-recursive","indicator_89","success"
"smb-smbmap-recursive","indicator_90","success"
"smb-smbmap-recursive","indicator_91","success"
"smb-smbmap-recursive","indicator_92","failure"
"smb-smbmap-recursive","indicator_93","failure"
"smb-smbmap-recursive","indicator_94","failure"
"smb-smbmap-recursive","indicator_95","failure"
"smb-mount-share","indicator_96","success"
"smb-mount-share","indicator_97","success"
"smb-mount-share","indicator_98","success"
"smb-mount-share","indicator_99","failure"
"smb-mount-share","indicator_100","failure"
"smb-mount-share","indicator_101","failure"
"smb-mount-share","indicator_102","failure"
"curl-header-enum","indicator_103","success"
"curl-header-enum","indicator_104","success"
"curl-header-enum","indicator_105","success"
"curl-header-enum","indicator_106","success"
"curl-header-enum","indicator_107","success"
"curl-header-enum","indicator_108","failure"
"curl-header-enum","indicator_109","failure"
"curl-header-enum","indicator_110","failure"
"curl-header-enum","indicator_111","failure"
"whatweb-technology-detection","indicator_112","success"
"whatweb-technology-detection","indicator_113","success"
"whatweb-technology-detection","indicator_114","success"
"whatweb-technology-detection","indicator_115","success"
"whatweb-technology-detection","indicator_116","success"
"whatweb-technology-detection","indicator_117","success"
"whatweb-technology-detection","indicator_118","failure"
"whatweb-technology-detection","indicator_119","failure"
"whatweb-technology-detection","indicator_120","failure"
"whatweb-technology-detection","indicator_121","failure"
"vhost-fuzzing-gobuster","indicator_122","success"
"vhost-fuzzing-gobuster","indicator_123","success"
"vhost-fuzzing-gobuster","indicator_124","success"
"vhost-fuzzing-gobuster","indicator_125","success"
"vhost-fuzzing-gobuster","indicator_126","failure"
"vhost-fuzzing-gobuster","indicator_127","failure"
"vhost-fuzzing-gobuster","indicator_128","failure"
"vhost-fuzzing-gobuster","indicator_129","failure"
"dns-zone-transfer-dig","indicator_130","success"
"dns-zone-transfer-dig","indicator_131","success"
"dns-zone-transfer-dig","indicator_132","success"
"dns-zone-transfer-dig","indicator_133","success"
"dns-zone-transfer-dig","indicator_134","success"
"dns-zone-transfer-dig","indicator_135","success"
"dns-zone-transfer-dig","indicator_136","failure"
"dns-zone-transfer-dig","indicator_137","failure"
"dns-zone-transfer-dig","indicator_138","failure"
"dns-zone-transfer-dig","indicator_139","failure"
"iptables-list-rules","indicator_140","success"
"iptables-list-rules","indicator_141","success"
"iptables-list-rules","indicator_142","success"
"iptables-list-rules","indicator_143","failure"
"iptables-list-rules","indicator_144","failure"
"iptables-allow-port","indicator_145","success"
"iptables-allow-port","indicator_146","success"
"iptables-allow-port","indicator_147","failure"
"iptables-allow-port","indicator_148","failure"
"iptables-port-forward","indicator_149","success"
"iptables-port-forward","indicator_150","failure"
"iptables-port-forward","indicator_151","failure"
"iptables-flush-all","indicator_152","success"
"iptables-flush-all","indicator_153","success"
"iptables-flush-all","indicator_154","failure"
"ufw-status","indicator_155","success"
"ufw-status","indicator_156","success"
"ufw-status","indicator_157","failure"
