"command_id","variable_id","position","example","required"
"nmap-ping-sweep","1a9201fd7c0a23ab","0","192.168.1.0/24","True"
"nmap-quick-scan","face8a1865a28492","0","192.168.1.100","True"
"nmap-quick-scan","52de2110bc5698c7","1","1000","False"
"nmap-quick-scan","e252e97ce258b597","2","quick_scan","False"
"nmap-service-scan","face8a1865a28492","0","192.168.1.100","True"
"nmap-service-scan","bf4207c7393bd764","1","80,443,22,21","True"
"nmap-service-scan","e252e97ce258b597","2","service_scan","False"
"nmap-vuln-scan","face8a1865a28492","0","192.168.1.100","True"
"nmap-vuln-scan","bf4207c7393bd764","1","80,443,445","True"
"dns-enum","13953c1091c80795","0","example.com","True"
"smb-enum","face8a1865a28492","0","192.168.1.100","True"
"snmp-enum","face8a1865a28492","0","192.168.1.100","True"
"snmp-enum","5e62dc89b3782352","1","public","True"
"smb-null-session-shares","face8a1865a28492","0","192.168.45.100","True"
"smb-enum4linux-full","face8a1865a28492","0","192.168.45.100","True"
"smb-crackmapexec-shares","face8a1865a28492","0","192.168.45.100","True"
"smb-crackmapexec-shares","d96fe655f106be0f","1","administrator","True"
"smb-crackmapexec-shares","3c5dfc5cec43fca4","2","password123","True"
"smb-smbclient-connect","face8a1865a28492","0","192.168.45.100","True"
"smb-smbclient-connect","df84dcd52099d866","1","Users","True"
"smb-smbclient-connect","d96fe655f106be0f","2","administrator","True"
"smb-smbmap-recursive","face8a1865a28492","0","192.168.45.100","True"
"smb-smbmap-recursive","d96fe655f106be0f","1","administrator","True"
"smb-smbmap-recursive","3c5dfc5cec43fca4","2","password123","True"
"smb-smbmap-recursive","df84dcd52099d866","3","Users","False"
"smb-mount-share","face8a1865a28492","0","192.168.45.100","True"
"smb-mount-share","df84dcd52099d866","1","Users","True"
"smb-mount-share","d96fe655f106be0f","2","administrator","True"
"smb-mount-share","3c5dfc5cec43fca4","3","password123","True"
"smb-mount-share","df66985a3caccff0","4","/mnt/smb","True"
"curl-header-enum","face8a1865a28492","0","192.168.45.100","True"
"curl-header-enum","f4da422801e90d2e","1","80","False"
"curl-header-enum","e26d08a3b58ba1f7","2","/","False"
"curl-header-enum","b2efb6b3480476dd","3","GET","False"
"whatweb-technology-detection","face8a1865a28492","0","192.168.45.100","True"
"whatweb-technology-detection","f4da422801e90d2e","1","80","False"
"vhost-fuzzing-gobuster","face8a1865a28492","0","example.com","True"
"vhost-fuzzing-gobuster","26c3a2c445a786bb","1","/usr/share/seclists/Discovery/DNS/subdomains-top1million-5000.txt","True"
"vhost-fuzzing-gobuster","b27bf83a80994b90","2","50","False"
"dns-zone-transfer-dig","61c3f140eb0d4fd8","0","192.168.45.100","True"
"dns-zone-transfer-dig","13953c1091c80795","1","example.com","True"
"iptables-allow-port","90aae15ca60cda0b","0","tcp","True"
"iptables-allow-port","f4da422801e90d2e","1","4444","True"
"iptables-port-forward","90aae15ca60cda0b","0","tcp","True"
"iptables-port-forward","6ca10da9dc0d6f8a","1","80","True"
"iptables-port-forward","9b85da1bf4f8c8ab","2","8080","True"
"iptables-delete-rule","ddf14f3d52447b82","0","INPUT","True"
"iptables-delete-rule","7eafb606cb0c9924","1","3","True"
"ufw-allow-port","f4da422801e90d2e","0","4444","True"
"ufw-allow-port","90aae15ca60cda0b","1","tcp","True"
"firewalld-add-port","f4da422801e90d2e","0","4444","True"
"firewalld-add-port","90aae15ca60cda0b","1","tcp","True"
"firewalld-port-forward","6ca10da9dc0d6f8a","0","80","True"
"firewalld-port-forward","90aae15ca60cda0b","1","tcp","True"
"firewalld-port-forward","9b85da1bf4f8c8ab","2","8080","True"
"netsh-firewall-add-rule","7e6a0af941cb89f9","0","Allow_ReverseShell","True"
"netsh-firewall-add-rule","90aae15ca60cda0b","1","TCP","True"
"netsh-firewall-add-rule","f4da422801e90d2e","2","4444","True"
"netsh-firewall-port-forward","7e6a0af941cb89f9","0","port_forward_ssh_2222","True"
"netsh-firewall-port-forward","90aae15ca60cda0b","1","TCP","True"
"netsh-firewall-port-forward","e466b3984d5df751","2","192.168.50.64","True"
"netsh-firewall-port-forward","6ca10da9dc0d6f8a","3","2222","True"
"netsh-portproxy-add","6ca10da9dc0d6f8a","0","2222","True"
"netsh-portproxy-add","dbc3cba313c64ccf","1","0.0.0.0","True"
"netsh-portproxy-add","9b85da1bf4f8c8ab","2","22","True"
"netsh-portproxy-add","682053f40882238f","3","127.0.0.1","True"
