"command_id","prerequisite_command_id"
"nmap-service-scan","nmap-quick-scan"
"smb-enum","nmap-service-scan"
"smb-enum4linux-full","smb-null-session-shares"
"smb-smbclient-connect","smb-null-session-shares"
"smb-smbclient-connect","smb-crackmapexec-shares"
"smb-smbmap-recursive","smb-crackmapexec-shares"
"vhost-fuzzing-gobuster","nmap-service-scan"
"ps-wmi-invoke-method","ps-wmi-cimsession-setup"
"ps-wmi-invoke-method","ps-winrm-credential-setup"
"ps-wmi-cimsession-setup","ps-winrm-credential-setup"
"ps-winrm-invoke-command","ps-winrm-credential-setup"
"psql-connect","nmap-service-scan"
"psql-connect","ssh-local-port-forward"
"smbclient-list-shares","nmap-service-scan"
"systeminfo-windows","evil-winrm-shell"
"whoami-priv","evil-winrm-shell"
"ipconfig-all","evil-winrm-shell"
"netstat-windows","evil-winrm-shell"
"ssh-local-port-forward","ssh-connect"
"ssh-dynamic-port-forward","ssh-key-authentication"
"ssh-remote-port-forward","ssh-key-authentication"
"ssh-remote-dynamic-port-forward","ssh-key-authentication"
"xfreerdp-connect","nmap-service-scan"
"sshuttle-vpn","ssh-connect"
"ssh-connect-password","nmap-service-scan"
"ssh-key-authentication","extract-ssh-key"
"ssh-key-authentication","ssh-key-format"
"extract-ssh-key","linux-enumerate-home-directory"
"extract-ssh-key","pty-spawn-script"
"ssh-key-format","extract-ssh-key"
"proxychains-config","ssh-dynamic-forward"
"proxychains-config","chisel-socks"
"proxychains-nmap","ssh-dynamic-port-forward"
"proxychains-nmap","chisel-server"
"chisel-client","chisel-server"
"chisel-socks","chisel-server"
"ssh-local-forward","ssh-connect"
"ssh-remote-forward","ssh-connect"
"ssh-dynamic-forward","ssh-connect"
"ligolo-agent","ligolo-server"
"bloodhound-analyze","import-sharphound"
"secretsdump-hashes","ad-dcsync-check-domain-admins"
"secretsdump-hashes","crackmapexec-validate-admin"
"ad-user-attribute-inspection","import-powerview"
"powerview-module-path-check","import-powerview"
"ad-check-allextendedrights","import-powerview"
"ad-acl-enumeration-by-sid","import-powerview"
"check-rate-limiting","check-robots-txt"
"uniq-lines","sort-lines"
"apt-install","apt-update"
"apt-upgrade","apt-update"
"ssh-connect","hydra-ssh"
"nmap-udp-scan","nmap-quick-scan"
"verify-powerview-imported","import-powerview"
"verify-socks-proxy-running","ssh-dynamic-forward"
"ft-certutil-download","ft-python-http-server"
"ft-powershell-iwr","ft-python-http-server"
"ft-powershell-webclient","ft-python-http-server"
"ft-smb-download","ft-smb-server"
"ft-bitsadmin-download","ft-python-http-server"
"ft-powershell-upload","ft-uploadserver"
"ft-smb-upload","ft-smb-server"
"ft-curl-upload","ft-uploadserver"
"ft-nc-send","ft-nc-receive"
"ft-powershell-tcp-send","ft-nc-receive"
"ft-file-verify-md5","ft-certutil-download"
"ft-file-verify-md5","ft-powershell-iwr"
"ft-file-verify-md5","ft-smb-download"
"ft-powershell-execute-memory","ft-python-http-server"
"ft-wget-download","ft-python-http-server"
"ft-curl-download","ft-python-http-server"
"ft-bash-dev-tcp","ft-nc-send"
"netstat-listening-tcp","ps-aux-full"
"ss-listening-all","ps-aux-full"
"systemctl-running-services","ps-aux-full"
"systemctl-service-permissions","ps-aux-full"
"systemctl-service-permissions","systemctl-running-services"
"crontab-user-specific","crontab-user-list"
"cron-directories-list","crontab-user-list"
"tail-follow-filter","tail-follow-log"
"journalctl-service-follow","journalctl-follow"
"journalctl-service-follow","systemctl-running-services"
"grep-sudo-commands","cat-etc-sudoers"
"grep-sudo-commands","tail-follow-filter"
"get-netdomain","import-powerview"
"get-netuser","import-powerview"
"get-netgroup","import-powerview"
"get-netcomputer","import-powerview"
"find-localadminaccess","import-powerview"
"invoke-sharefinder","import-powerview"
"get-netgpo","import-powerview"
"get-domainsid","import-powerview"
"invoke-bloodhound","import-sharphound"
"spray-passwords-ldap","net-accounts-policy"
"crackmapexec-smb-spray","crackmapexec-policy"
"crackmapexec-smb-spray","kerbrute-userenum-ad"
"kerbrute-passwordspray","kerbrute-userenum-ad"
"kerbrute-passwordspray","net-accounts-policy"
"crackmapexec-winrm-spray","crackmapexec-policy"
"crackmapexec-winrm-spray","kerbrute-userenum-ad"
"ntlmrelayx-adcs","petitpotam-coerce"
"ad-dcsync-mimikatz-user","ad-dcsync-check-domain-admins"
"ad-dcsync-mimikatz-user","ad-dcsync-check-user-groups"
"ad-dcsync-mimikatz-krbtgt","ad-dcsync-check-domain-admins"
"ad-dcsync-mimikatz-administrator","ad-dcsync-check-domain-admins"
"ad-golden-ticket-dcsync-krbtgt","ad-dcsync-check-privileges"
"ad-golden-ticket-lsa-dump-krbtgt","windows-psexec-system-shell"
"ad-golden-ticket-mimikatz-create","ad-golden-ticket-dcsync-krbtgt"
"ad-golden-ticket-mimikatz-create","ad-sid-whoami-extract"
"ad-golden-ticket-mimikatz-create","ad-golden-ticket-purge-tickets"
"ad-golden-ticket-rubeus-create","ad-golden-ticket-dcsync-krbtgt"
"ad-golden-ticket-rubeus-create","ad-sid-whoami-extract"
"ad-golden-ticket-verify-klist","ad-golden-ticket-mimikatz-create"
"ad-golden-ticket-psexec-use","ad-golden-ticket-mimikatz-create"
"ad-golden-ticket-psexec-use","ad-golden-ticket-verify-klist"
"targeted-asreproast-cleanup","targeted-asreproast-set"
"test-wsman-connectivity","nmap-service-scan"
"net-use-admin-share","crackmapexec-validate-admin"
"net-use-admin-share","evil-winrm-shell"
"dir-admin-share","crackmapexec-validate-admin"
"dir-admin-share","evil-winrm-shell"
"dir-admin-share","net-use-admin-share"
"copy-file-admin-share","test-admin-share-access"
"ad-vssadmin-create-shadow","ad-check-vss-service"
"ad-vshadow-create-shadow","ad-check-vss-service"
"ad-diskshadow-create-shadow","ad-check-vss-service"
"ad-wmic-create-shadow","ad-check-vss-service"
"ad-copy-ntds-from-shadow","ad-vssadmin-list-shadows"
"ad-copy-ntds-from-shadow","ad-vssadmin-create-shadow"
"ad-reg-save-system-hive","ad-copy-ntds-from-shadow"
"ad-secretsdump-parse-ntds","ad-copy-ntds-from-shadow"
"ad-secretsdump-parse-ntds","ad-reg-save-system-hive"
"ad-vssadmin-delete-shadows","ad-secretsdump-parse-ntds"
"ad-dcsync-mimikatz-single-user","ad-dcsync-check-domain-admins"
"ad-dcsync-mimikatz-single-user","ad-dcsync-check-permissions"
"ad-dcsync-impacket-secretsdump-user","ad-dcsync-check-domain-admins"
"ad-dcsync-impacket-secretsdump-user","crackmapexec-validate-admin"
"ad-dcsync-check-permissions","ad-dcsync-check-domain-admins"
"mimikatz-sekurlsa-logonpasswords","mimikatz-privilege-debug"
"mimikatz-sekurlsa-logonpasswords","evil-winrm-upload-file"
"certipy-req-esc1","certipy-find"
"certipy-auth","certipy-req-esc1"
"certipy-req-esc4","certipy-find"
"certipy-req-esc7","certipy-find"
"certify-request","certify-find"
"rubeus-asktgt-cert","certify-request"
"mimikatz-overpass-the-hash","mimikatz-sekurlsa-logonpasswords"
"mimikatz-sekurlsa-ekeys","mimikatz-privilege-debug"
"rbcd-get-st","rbcd-set-msds"
"rubeus-s4u-impersonate","rbcd-set-msds"
"targeted-kerberoast-cleanup","targeted-kerberoast-set"
"ad-lsass-dump-procdump","windows-psexec-system-shell"
"ad-sam-dump-reg-save","enable-remote-registry"
"ad-sam-dump-reg-save","crackmapexec-validate-admin"
"import-sharphound","download-sharphound"
"ad-dcsync-secretsdump-user","ad-dcsync-check-domain-admins"
"ad-dcsync-secretsdump-krbtgt","ad-dcsync-check-domain-admins"
"ad-dcsync-secretsdump-all","ad-dcsync-check-domain-admins"
"ad-silver-ticket-mimikatz-create","ad-sid-whoami-extract"
"ad-silver-ticket-mimikatz-create","impacket-getuserspns-kerberoast"
"ad-silver-ticket-mimikatz-create","ad-enumerate-spn-target"
"ad-silver-ticket-rubeus-create","ad-sid-whoami-extract"
"ad-silver-ticket-rubeus-create","impacket-getuserspns-kerberoast"
"ad-enumerate-spn-target","crackmapexec-validate-admin"
"ad-silver-ticket-validate-access","ad-silver-ticket-mimikatz-create"
"ad-silver-ticket-validate-access","kerberos-klist-verify"
"sharpgpoabuse-add-local-admin","icacls-sysvol-check"
"xss-filter-bypass-case","xss-test-script-basic"
"xss-filter-bypass-encoding","xss-test-img-onerror"
"xss-cookie-stealer","python-http-server"
"xss-cookie-stealer","nc-listener"
"xss-session-hijack-fetch","python-http-server"
"xss-session-hijack-fetch","nc-listener"
"xss-keylogger","python-http-server"
"xss-keylogger","nc-listener"
"sqli-column-enum-orderby","sqli-detection-error"
"sqli-union-select-basic","sqli-detection-error"
"sqli-union-select-basic","sqli-column-enum-orderby"
"sqli-union-mysql-info","sqli-detection-error"
"sqli-union-mysql-info","sqli-column-enum-orderby"
"sqli-union-mysql-info","sqli-union-select-basic"
"sqli-union-postgresql-info","sqli-detection-error"
"sqli-union-postgresql-info","sqli-column-enum-orderby"
"sqli-union-postgresql-info","sqli-union-select-basic"
"sqli-union-mssql-info","sqli-detection-error"
"sqli-union-mssql-info","sqli-column-enum-orderby"
"sqli-union-mssql-info","sqli-union-select-basic"
"sqlmap-post-exploitation","sqli-detection-error"
"wpscan-aggressive-detection","wpscan-enumerate-all"
"wpscan-password-attack","wpscan-enumerate-all"
"wordpress-xmlrpc-enum","wpscan-enumerate-all"
"sqlmap-basic","gobuster-dir"
"sqlmap-basic","sqli-manual-test"
"lfi-test","gobuster-dir"
"web-version-enumeration","nmap-service-scan"
"web-login-admin-panel","web-manual-enumeration"
"web-login-admin-panel","sqlmap-dump-table"
"user-registration-test","web-manual-enumeration"
"burpsuite-intercept-request","web-manual-enumeration"
"burpsuite-modify-upload","burpsuite-intercept-request"
"burpsuite-modify-upload","web-manual-enumeration"
"create-php-webshell","burpsuite-modify-upload"
"web-access-uploaded-file","create-php-webshell"
"web-access-uploaded-file","burpsuite-modify-upload"
"webshell-execute-revshell","nc-listener"
"webshell-execute-revshell","web-access-uploaded-file"
"sqlmap-from-request","sqli-manual-test"
"sqlmap-from-request-level3","sqli-manual-test"
"sqlmap-from-request-level3","sqlmap-from-request"
"sqlmap-enumerate-databases","sqlmap-from-request-level3"
"sqlmap-enumerate-tables","sqlmap-enumerate-databases"
"sqlmap-dump-table","sqlmap-enumerate-databases"
"sqlmap-dump-table","sqlmap-enumerate-tables"
"ps-reverse-shell-base64","ps-reverse-shell-encoder-python"
"ps-reverse-shell-base64","nc-listener-setup"
"powerview-get-netdomaincontroller","import-powerview"
"powerview-get-netuser","import-powerview"
"powerview-get-netuser-filter","import-powerview"
"powerview-get-netuser-filter","powerview-get-netuser"
"powerview-get-netuser-spn","import-powerview"
"powerview-get-netgroup","import-powerview"
"powerview-get-netgroup-specific","import-powerview"
"powerview-get-netgroup-specific","powerview-get-netgroup"
"powerview-get-netgroupmember","import-powerview"
"powerview-get-netgroupmember","powerview-get-netgroup"
"powerview-get-netcomputer","import-powerview"
"powerview-get-netou","import-powerview"
"powerview-get-netgpo","import-powerview"
"powerview-get-netforest","import-powerview"
"powerview-get-netuser-all","import-powerview"
"powerview-get-netuser-all","download-powerview"
"powerview-get-netcomputer-all","import-powerview"
"powerview-get-netcomputer-ping","import-powerview"
"powerview-get-netgroup-recursive","import-powerview"
"ps-get-pdc","ps-get-current-domain"
"ps-build-ldap-path","ps-get-pdc"
"ps-build-ldap-path","ps-get-distinguished-name"
"ps-directorysearcher-users","ps-build-ldap-path"
"ps-directorysearcher-groups","ps-build-ldap-path"
"ps-directorysearcher-computers","ps-build-ldap-path"
"ps-ldapsearch-function","ps-build-ldap-path"
"ps-ldapsearch-function","ps-directorysearcher-users"
"ps-ldapsearch-users","ps-ldapsearch-function"
"ps-ldapsearch-computers","ps-ldapsearch-function"
"ps-ldapsearch-groups","ps-ldapsearch-function"
"ps-ldapsearch-spns","ps-ldapsearch-function"
"ps-ldapsearch-admins","ps-ldapsearch-function"
"powerview-get-netsession","import-powerview"
"powerview-get-netloggedon","import-powerview"
"powerview-find-localadminaccess","import-powerview"
"powerview-find-domainshare","import-powerview"
"powerview-find-domainshare-accessible","import-powerview"
"test-share-access","smbmap-shares"
"test-share-access","enum4linux-smb"
"search-share-files","test-share-access"
"search-share-files","smbmap-shares"
"gpp-password-decrypt","search-share-files"
"gpp-password-decrypt","enum4linux-smb"
"powerview-find-domainshare-exclude","import-powerview"
"net-user-domain-detail","net-user-domain-list"
"net-group-domain-members","net-group-domain-list"
"net-accounts-domain","evil-winrm-shell"
"net-accounts-domain","crackmapexec-validate-admin"
"setspn-list-user","net-user-domain-list"
"dsquery-admins","evil-winrm-shell"
"powerview-get-objectacl","import-powerview"
"powerview-get-objectacl-genericall","import-powerview"
"powerview-get-objectacl-genericall","powerview-get-objectacl"
"powerview-convert-sidtoname","import-powerview"
"powerview-get-objectacl-writedacl","import-powerview"
"powerview-get-objectacl-writedacl","powerview-get-objectacl"
"powerview-get-objectacl-forcechangepassword","import-powerview"
"powerview-get-objectacl-forcechangepassword","powerview-get-objectacl"
"powerview-get-objectacl-writeowner","import-powerview"
"powerview-get-objectacl-writeowner","powerview-get-objectacl"
"powerview-find-interestingdomainacl","import-powerview"
"powerview-get-pathacl","import-powerview"
"powerview-get-objectacl-user","import-powerview"
"powerview-get-objectacl-group","import-powerview"
"powerview-get-netcomputer-os","import-powerview"
"powerview-get-netcomputer-os-filter","import-powerview"
"check-remote-registry-service","nmap-service-scan"
"check-remote-registry-service","crackmapexec-smb-framework"
"enable-remote-registry","check-remote-registry-service"
"enable-remote-registry","crackmapexec-validate-admin"
"query-hkey-users-remote","check-remote-registry-service"
"john-rules-attack","john-test-rules"
"john-show-cracked","john-wordlist-attack"
"john-ssh-key-crack","ssh2john-extract"
"john-keepass-crack","keepass2john-extract"
"john-incremental-mode","john-wordlist-attack"
"john-incremental-mode","john-rules-attack"
"john-add-custom-rules","john-test-rules"
"ad-sid-whoami-extract","crackmapexec-validate-admin"
"ps-get-group-members-basic","ps-ldapsearch-function"
"ps-nested-group-check-member-type","ps-ldapsearch-function"
"ps-nested-group-check-member-type","ps-get-group-members-basic"
"ps-nested-group-recursive-function","ps-ldapsearch-function"
"ps-get-last-nested-user","ps-nested-group-recursive-function"
"ps-find-new-domain-admin","ps-ldapsearch-function"
"ps-powerview-get-user-details","verify-powerview-imported"
"ps-powerview-find-service-accounts","verify-powerview-imported"
"ps-extract-flag-from-user","ps-ldapsearch-function"
"bloodhound-upload-data","sharphound-collect"
"bloodhound-upload-data","invoke-bloodhound"
"bloodhound-analyze-paths","bloodhound-upload-data"
"bloodhound-cypher-query","bloodhound-upload-data"
"bloodhound-python-pth","mimikatz-sekurlsa-logonpasswords"
"bloodhound-python-computerfile","bloodhound-python-dconly"
"ps-ldap-directorysearcher","ps-get-current-domain"
"calculate-crack-time","hashcat-benchmark"
"calculate-crack-time","calculate-keyspace"
"attack-mode-decision","hashid"
"attack-mode-decision","calculate-keyspace"
"hash-rate-benchmark","hashcat-benchmark"
