"id","name","category","command","description","subcategory","filled_example","notes","oscp_relevance","examples","educational","related_commands","troubleshooting","flag_explanations","prerequisites","alternatives","next_steps"
"nmap-ping-sweep","Network Ping Sweep","recon","nmap -sn <TARGET_SUBNET>","Discover live hosts on a network without port scanning","","nmap -sn 192.168.1.0/24","Use -sn for host discovery only, no port scan","high","","","","","{""-sn"": ""Ping scan only - disables port scanning to quickly identify live hosts""}","","[""ping-host""]","[""nmap-quick-scan"", ""nmap-service-scan""]"
"nmap-quick-scan","Quick Full Port Scan","recon","nmap -Pn -p- --min-rate=<RATE> <TARGET> -oA <OUTPUT>","Fast scan of all 65535 ports","","nmap -Pn -p- --min-rate=1000 192.168.1.100 -oA quick_scan","Adjust --min-rate based on network stability","high","","","","","{""-Pn"": ""Skip host discovery - assume host is up (useful when ICMP blocked)"", ""-p-"": ""Scan all ports (1-65535) instead of default 1000 common ports"", ""--min-rate"": ""Minimum packet transmission rate per second for speed"", ""-oA"": ""Output in all formats (normal, XML, grepable) for documentation""}","","","[""nmap-service-scan"", ""nmap-udp-scan""]"
"nmap-service-scan","Service Version Detection","recon","nmap -sV -sC -p <PORTS> <TARGET> -oA <OUTPUT>","Detailed service enumeration with default scripts","","nmap -sV -sC -p 80,443,22,21 192.168.1.100 -oA service_scan","Use after quick scan to investigate open ports","high","","","","","{""-sV"": ""Service version detection - probe open ports to determine service/version"", ""-sC"": ""Default NSE scripts - runs safe scripts for enumeration"", ""-p"": ""Specify ports to scan (comma-separated or range)"", ""-oA"": ""Output in all formats for documentation and analysis""}","[""nmap-quick-scan""]","","[""gobuster-dir"", ""enum4linux-smb"", ""smbmap-shares"", ""hydra-ssh""]"
"nmap-vuln-scan","Vulnerability Scan","recon","nmap --script vuln -p <PORTS> <TARGET>","Run vulnerability detection scripts","","nmap --script vuln -p 80,443,445 192.168.1.100","Can be slow, use specific scripts for better performance","medium","","","","","{""--script"": ""Run NSE scripts - 'vuln' category runs all vulnerability scripts"", ""-p"": ""Target specific ports for vulnerability scanning""}","","[""nessus-scan""]",""
"dns-enum","DNS Enumeration","recon","dnsrecon -d <DOMAIN> -t std","Standard DNS enumeration","","dnsrecon -d example.com -t std","Try zone transfer with -t axfr if allowed","medium","","","","","{""-d"": ""Target domain to enumerate"", ""-t"": ""Type of enumeration - 'std' performs standard record queries""}","","[""dnsenum-domain""]",""
"smb-enum","SMB Enumeration","recon","enum4linux -a <TARGET>","Comprehensive SMB/NetBIOS enumeration","","enum4linux -a 192.168.1.100","Check for null sessions and guest access","high","","","","","{""-a"": ""All enumeration - combines -U -S -G -P -r -o -n -i (users, shares, groups, password policy, etc.)""}","[""nmap-service-scan""]","[""smb-enum4linux-full"", ""smb-crackmapexec-shares"", ""smb-null-session-shares"", ""enum4linux-smb""]","[""smb-smbclient-connect"", ""smb-smbmap-recursive"", ""smb-mount-share"", ""hydra-smb-attack""]"
"snmp-enum","SNMP Enumeration","recon","snmpwalk -c <SNMP_COMMUNITY> -v2c <TARGET>","SNMP enumeration with community string","","snmpwalk -c public -v2c 192.168.1.100","Try 'public' and 'private' as default community strings","medium","","","","","{""-c"": ""Community string for authentication (like a password)"", ""-v2c"": ""SNMP version 2c - most common, supports bulk requests""}","","",""
"smb-null-session-shares","SMB Null Session Share Enumeration","recon","smbclient -N -L //<TARGET>","Enumerate SMB shares using null session authentication (anonymous access without credentials)","","smbclient -N -L //192.168.45.100","Null sessions often allowed on older Windows (pre-2000) and misconfigured Samba servers.

This is the first step in SMB enumeration - always try before authenticated methods.

Document all discovered shares in enumeration.md.

Time estimate:
1-2 minutes.

OSCP tip:
If null session works, try accessing IPC$ for further enumeration with rpcclient.","high","","","","{""NT_STATUS_ACCESS_DENIED"": ""Null sessions disabled on target. Try guest authentication: smbclient -U guest%guest -L //<TARGET>"", ""Connection refused"": ""Port 445 filtered by firewall. Try legacy port 139: smbclient -p 139 -N -L //<TARGET>"", ""Protocol negotiation failed"": ""SMBv1 disabled on target. Specify minimum protocol version: smbclient -N -L //<TARGET> --option='client min protocol=SMB2'"", ""No shares visible"": ""Shares may be hidden from listing. Try connecting to common shares directly: C$, ADMIN$, IPC$, Users, Public""}","{""-N"": ""No password - attempts null session authentication (anonymous login without credentials)"", ""-L"": ""List available shares on the target server""}","","[""smb-smbmap-recursive"", ""smb-crackmapexec-shares""]","[""smb-enum4linux-full"", ""smb-smbclient-connect"", ""smb-crackmapexec-shares""]"
"smb-enum4linux-full","Comprehensive SMB Enumeration with enum4linux","recon","enum4linux -a <TARGET>","Comprehensive SMB/NetBIOS enumeration including users, shares, groups, password policy, OS info, and workgroup details","","enum4linux -a 192.168.45.100","enum4linux wraps multiple Samba tools (smbclient, rpcclient, net).

Best used after confirming SMB is accessible.

Time estimate:
3-5 minutes for full scan.

Can be noisy - IDS may detect.

Document findings in enumeration.md:
workgroup name, users, shares, password policy (useful for credential attacks).

OSCP tip:
Look for shares with READ/WRITE access, weak password policies (no complexity, no lockout), and user lists for credential spraying.","high","","","","{""Access denied but null session worked"": ""Some info requires authentication. Get credentials and retry: enum4linux -u <USER> -p <PASS> -a <TARGET>"", ""RID cycling taking too long"": ""Cancel and run faster targeted queries: enum4linux -U <TARGET> (users only), enum4linux -S <TARGET> (shares only)"", ""No domain/workgroup info"": ""Target may be standalone. Focus on share and user enumeration instead of domain queries"", ""Connection timeout"": ""Port 445/139 may be rate-limited. Reduce scan speed or wait before retrying""}","{""-a"": ""All simple enumeration - combines: -U (users), -S (shares), -G (groups), -P (password policy), -r (RID cycling), -o (OS info), -n (NetBIOS), -i (printer info). This is the most thorough single-command SMB enumeration.""}","[""smb-null-session-shares""]","[""smb-crackmapexec-shares"", ""smb-null-session-shares""]","[""smb-smbclient-connect"", ""smb-smbmap-recursive"", ""smb-mount-share""]"
"smb-crackmapexec-shares","CrackMapExec SMB Share Enumeration","recon","crackmapexec smb <TARGET> -u <USERNAME> -p <PASSWORD> --shares","Enumerate SMB shares with authenticated access using CrackMapExec, showing detailed permission information","","crackmapexec smb 192.168.45.100 -u administrator -p password123 --shares","CrackMapExec is faster than enum4linux for share enumeration with known credentials.

Shows explicit READ/WRITE permissions which is critical for exploitation planning.

Time estimate:
30 seconds.

OSCP tip:
Look for non-standard shares (anything besides C$, ADMIN$, IPC$) and shares with WRITE access - potential for uploading payloads.

For null session:
crackmapexec smb <TARGET> -u '' -p '' --shares.

For multiple targets:
crackmapexec smb <SUBNET> -u <USER> -p <PASS> --shares","high","","","","{""STATUS_LOGON_FAILURE"": ""Invalid credentials. Try null session: crackmapexec smb <TARGET> -u '' -p '' --shares"", ""No shares listed but command succeeds"": ""User authenticated but has no share access. Try different user or check for hidden shares: C$, ADMIN$"", ""Connection timeout"": ""Firewall blocking port 445. Try legacy port: crackmapexec smb <TARGET> -u <USER> -p <PASS> --shares --port 139"", ""Kerberos error"": ""Domain authentication failed. Use local auth: crackmapexec smb <TARGET> -u <USER> -p <PASS> --shares --local-auth""}","{""smb"": ""Target SMB protocol (port 445/139)"", ""-u"": ""Username for authentication (use '' or 'guest' for anonymous)"", ""-p"": ""Password for authentication (use '' for empty password or null session)"", ""--shares"": ""Enumerate all accessible shares and display READ/WRITE permissions""}","","[""smb-smbmap-recursive"", ""smb-enum4linux-full""]","[""smb-smbclient-connect"", ""smb-smbmap-recursive"", ""smb-mount-share""]"
