"id","flag","explanation"
"befa501143bc8fe4","-sn","Ping scan only - disables port scanning to quickly identify live hosts"
"474da063f5e05eb5","-Pn","Skip host discovery - assume host is up (useful when ICMP blocked)"
"0ebdccd74cbcc038","-p-","Scan all ports (1-65535) instead of default 1000 common ports"
"79124c78bc28defb","--min-rate","Minimum packet transmission rate per second for speed"
"5aa8c52a9ba4e6ab","-oA","Output in all formats (normal, XML, grepable) for documentation"
"151b3b769efc153b","-sV","Service version detection - probe open ports to determine service/version"
"a57be0e1c4f44bc3","-sC","Default NSE scripts - runs safe scripts for enumeration"
"b9f9d7c3bf760652","-p","Specify ports to scan (comma-separated or range)"
"bed5eb1c298f9620","--script","Run NSE scripts - 'vuln' category runs all vulnerability scripts"
"896193ea692d3726","-d","Target domain to enumerate"
"30bd005d98b9ca02","-t","Type of enumeration - 'std' performs standard record queries"
"5760c2d08a6e0538","-a","All enumeration - combines -U -S -G -P -r -o -n -i (users, shares, groups, password policy, etc.)"
"38aa04fbbf839040","-c","Community string for authentication (like a password)"
"7c963785b2d4e11f","-v2c","SNMP version 2c - most common, supports bulk requests"
"dca32a170aeabfa7","-N","No password - attempts null session authentication (anonymous login without credentials)"
"79ce0d6465b975a0","-L","List available shares on the target server"
"137d7625d8416096","smb","Target SMB protocol (port 445/139)"
"4731e1e76889413b","-u","Username for authentication (use '' or 'guest' for anonymous)"
"77f4e7bc553944ae","--shares","Enumerate all accessible shares and display READ/WRITE permissions"
"fba5ab09ed4d3cf9","//","UNC path format for SMB shares: //<SERVER>/<SHARE>"
"90e71d16ba0e980b","-U","Specify username for authentication (will prompt for password, or use %<PASS> inline for scripting)"
"7ef56b707cd6ffa9","-H","Target hostname or IP address"
"5375831b6f014d1a","-R","Recursively list files and directories within specified share (omit share name to recursively list ALL accessible shares)"
"b6c745935fc3bf99","sudo","Required - mounting filesystems requires root privileges"
"4872a28228f69e21","-t cifs","Filesystem type - CIFS (Common Internet File System, SMB protocol implementation)"
"e70f248960b43e8d","-o","Mount options - comma-separated: username, password, and other options"
"1775f7ce8535008b","username=","SMB authentication username"
"297216cf208eb0f3","password=","SMB authentication password (alternative: use file=<CREDFILE> for security)"
"6e9aeb4b8658eed1","-I","Fetch headers only (HEAD request equivalent) - faster than full GET request"
"878e0830fa31f67d","-X","Specify HTTP method (GET, POST, OPTIONS, PUT, DELETE, TRACE) - useful for testing allowed methods"
"f2ca75f80e334bc8","-v","Verbose mode - displays detailed information about detected technologies"
"7764865c46bfce2c","3","Aggression level 3 - good balance of thoroughness and stealth for OSCP labs"
"10f44287b2234c9f","vhost","Virtual host enumeration mode - fuzzes Host header instead of URL path"
"cf07cf4d6d4ae2a4","-w","Wordlist for fuzzing subdomain names"
