"id","pattern","indicator_type"
"indicator_1","Host is up","success"
"indicator_2","MAC Address:","success"
"indicator_3","Nmap done: X IP addresses (Y hosts up)","success"
"indicator_4","0 hosts up","failure"
"indicator_5","Host seems down","failure"
"indicator_6","Note: Host seems down","failure"
"indicator_7","open port","success"
"indicator_8","Discovered open port","success"
"indicator_9","/tcp open","success"
"indicator_10","/udp open","success"
"indicator_11","Host seems down","failure"
"indicator_12","All 65535 scanned ports are closed","failure"
"indicator_13","0 hosts up","failure"
"indicator_14","Service Info:","success"
"indicator_15","VERSION:","success"
"indicator_16","Service detection performed","success"
"indicator_17","SF-Port","success"
"indicator_18","All scanned ports are closed","failure"
"indicator_19","Service scan Timing","failure"
"indicator_20","0 services on 0 hosts","failure"
"indicator_21","VULNERABLE:","success"
"indicator_22","State: VULNERABLE","success"
"indicator_23","CVE-","success"
"indicator_24","MS17-010","success"
"indicator_25","NOT VULNERABLE","failure"
"indicator_26","Could not find","failure"
"indicator_27","No vulnerabilities found","failure"
"indicator_28","[*] A","success"
"indicator_29","[*] MX","success"
"indicator_30","[*] NS","success"
"indicator_31","[*] TXT","success"
"indicator_32","No records found","failure"
"indicator_33","SERVFAIL","failure"
"indicator_34","NXDOMAIN","failure"
"indicator_35","Share Enumeration","success"
"indicator_36","\\\\<IP>\\","success"
"indicator_37","Mapping: OK","success"
"indicator_38","Username","success"
"indicator_39","WORKGROUP\\","success"
"indicator_40","Server doesn't allow session","failure"
"indicator_41","NT_STATUS_ACCESS_DENIED","failure"
"indicator_42","Connection refused","failure"
"indicator_43","Could not connect","failure"
"indicator_44","iso.3.6.1","success"
"indicator_45","SNMPv2-MIB","success"
"indicator_46","HOST-RESOURCES-MIB","success"
"indicator_47","sysDescr.0","success"
"indicator_48","Timeout","failure"
"indicator_49","No Response","failure"
"indicator_50","Unknown community","failure"
"indicator_51","Sharename","success"
"indicator_52","IPC$","success"
"indicator_53","Anonymous login successful","success"
"indicator_54","Type","success"
"indicator_55","Disk","success"
"indicator_56","NT_STATUS_ACCESS_DENIED","failure"
"indicator_57","NT_STATUS_LOGON_FAILURE","failure"
"indicator_58","Connection refused","failure"
"indicator_59","Protocol negotiation failed","failure"
"indicator_60","Got domain/workgroup name:","success"
"indicator_61","Share Enumeration","success"
"indicator_62","Password Info for Domain:","success"
"indicator_63","Users on","success"
"indicator_64","Group Membership","success"
"indicator_65","Server doesn't allow session using username","failure"
"indicator_66","NT_STATUS_ACCESS_DENIED","failure"
"indicator_67","Could not connect","failure"
"indicator_68","Connection timed out","failure"
"indicator_69","[+]","success"
"indicator_70","READ","success"
"indicator_71","WRITE","success"
"indicator_72","SMB","success"
"indicator_73","\\\\<IP>\\","success"
"indicator_74","[-] Error","failure"
"indicator_75","STATUS_LOGON_FAILURE","failure"
"indicator_76","STATUS_ACCESS_DENIED","failure"
"indicator_77","Connection error","failure"
"indicator_78","smb: \>","success"
"indicator_79","Try ""help"" to get a list of possible commands","success"
"indicator_80","Domain=","success"
"indicator_81","getting file","success"
"indicator_82","NT_STATUS_ACCESS_DENIED","failure"
"indicator_83","NT_STATUS_BAD_NETWORK_NAME","failure"
"indicator_84","Connection to <TARGET> failed","failure"
"indicator_85","tree connect failed","failure"
"indicator_86","READ","success"
"indicator_87","WRITE","success"
"indicator_88","dr--","success"
"indicator_89","-r--","success"
"indicator_90",".txt","success"
"indicator_91","KB","success"
"indicator_92","Authentication error","failure"
"indicator_93","[-] Access Denied","failure"
"indicator_94","Unable to connect","failure"
