"id","name","description","example","required"
"1a9201fd7c0a23ab","<TARGET_SUBNET>","Target network in CIDR notation","192.168.1.0/24","True"
"face8a1865a28492","<TARGET>","Target IP address","192.168.1.100","True"
"52de2110bc5698c7","<RATE>","Packets per second","1000","False"
"e252e97ce258b597","<OUTPUT>","Output filename base","quick_scan","False"
"bf4207c7393bd764","<PORTS>","Ports to scan","80,443,22,21","True"
"13953c1091c80795","<DOMAIN>","Target domain","example.com","True"
"5e62dc89b3782352","<SNMP_COMMUNITY>","SNMP community string","public","True"
"d96fe655f106be0f","<USERNAME>","SMB username (or use '' for null session)","administrator","True"
"3c5dfc5cec43fca4","<PASSWORD>","SMB password (or use '' for null session)","password123","True"
"df84dcd52099d866","<SHARE>","Share name to connect to","Users","True"
"df66985a3caccff0","<MOUNT_POINT>","Local directory to mount share to (must exist)","/mnt/smb","True"
"f4da422801e90d2e","<PORT>","HTTP port","80","False"
"e26d08a3b58ba1f7","<PATH>","URL path to test","/","False"
"b2efb6b3480476dd","<METHOD>","HTTP method to use","GET","False"
"26c3a2c445a786bb","<WORDLIST>","Wordlist for subdomain fuzzing","/usr/share/seclists/Discovery/DNS/subdomains-top1million-5000.txt","True"
"b27bf83a80994b90","<THREADS>","Number of concurrent threads","50","False"
"61c3f140eb0d4fd8","<NAMESERVER>","Target nameserver IP or hostname","192.168.45.100","True"
"90aae15ca60cda0b","<PROTOCOL>","Protocol (tcp/udp/icmp)","tcp","True"
"6ca10da9dc0d6f8a","<SRC_PORT>","Source port (incoming traffic)","80","True"
"9b85da1bf4f8c8ab","<DST_PORT>","Destination port (redirect to)","8080","True"
"ddf14f3d52447b82","<CHAIN>","Chain name (INPUT/OUTPUT/FORWARD)","INPUT","True"
"7eafb606cb0c9924","<RULE_NUMBER>","Rule line number (from iptables -L --line-numbers)","3","True"
"7e6a0af941cb89f9","<RULE_NAME>","Descriptive name for the firewall rule","Allow_ReverseShell","True"
"e466b3984d5df751","<LOCAL_IP>","Local IP address to bind","192.168.50.64","True"
